protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	198922.0048280742	2577935.537640321	1861631.1672519287	29718109.831586827	30980159.38522222	29413397.294851653	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			1	1.5391139920196644e-05	-4.2799871649195165	True	0.0004793289394847214	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	2520870.647329594	1356542.445508027	2282422.888405317	70004215.51246591	71799417.54642987	73046974.52269593	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			0	2.001065541326396e-05	-5.124298110124619	True	0.0005092869982025165	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	9638850.031521328	9863129.708161712	9947106.64264091	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)			3	4.2996622227990886e-05	-5.840585715274265	False	0.0005392450569203116	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	1537510.936268415	1706001.6539098537	1697957.4437205554	54643604.077547655	54194566.059852034	55678812.58705926	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	5.3595730080583606e-05	-5.057152415807068	False	0.0005692031156381067	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	1959561.7777584305	1528649.627663595	4186162.337840464	41446370.35531102	42614434.11704403	42369694.50197872	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			0	5.7655754803120285e-05	-4.042151692116377	False	0.0005991611743559018	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	979392.7621811698	1241199.2919418355	1222525.2315062657	44502168.73064084	45959130.09415788	44437530.60248562	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	8.540670949104137e-05	-5.292018693848116	False	0.0006291192330736969	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0AC59	31097499.899158303	30635486.41895255	31223662.05527921	27262127.055572905	27325648.347634666	26800903.552672744	P0AC59	P0AC59		grxB	0	9.684347465676858e-05	0.19172992043788395	False	0.000659077291791492	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	3701546.071333255	4105603.5165460287	3805443.961992709	98338138.17554264	96307393.88207564	94758845.9939792	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)			0	0.00010301604267684497	-4.639324622865168	False	0.0006890353505092871	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	22429863.809745315	23343177.923272457	22822061.11610965	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			3	0.00012451270157977324	-7.060468421161875	False	0.0007189934092270821	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	804127.8272160523	777323.0518895088	889270.4728494975	8420355.66064722	8555249.974155677	8863559.561275383	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	0.00012466098230757102	-3.3865552428764722	False	0.0007489514679448772	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	28528764.588715244	29681825.92953453	29428311.397355728	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			3	0.0001380913110260903	-7.413934246150718	False	0.0007789095266626723	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A972	478018685.268051	488213549.6337676	502825395.4737324	322519338.5495186	324617349.1668235	348421713.0612621	P0A972	P0A972		cspE	0	0.00015521295073644877	0.5613131392417007	False	0.0008088675853804674	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	11699543.440841926	11728690.369505322	12683547.258914452	457328118.9098221	455871426.3094256	474153911.0001004	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	0.00016266853779216983	-5.263722002659573	False	0.0008388256440982625	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	34979829.0756472	35690630.103248924	34085716.008383155	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			3	0.0001737111019206501	-7.671326223752159	False	0.0008687837028160577	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	1976735.4133299736	2150357.0834092973	2228374.157974132	91846059.36546974	87719654.89383912	89862267.39475271	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	0.00017506310168394112	-5.405757820538206	False	0.0008987417615338526	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	728026.0564792668	671401.9885152581	807520.8696098471	23047006.29566575	22037867.854952943	21952242.763735536	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	0.00022503368736382577	-4.924834963644316	False	0.0009286998202516477	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	6245308.446927615	4803482.31260234	4726181.417914779	218021094.30390576	224400562.45561472	231336217.0715084	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	0.0002499218178343732	-5.416520862113024	False	0.0009586578789694428	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	24192720.692230705	25072148.83941081	23726435.28278128	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)			3	0.000257288488841194	-7.150087449443714	False	0.000988615937687238	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P52643	23995840.296958998	23933804.004243504	23700967.25032636	20812122.02632096	20326690.54906945	20312813.665935986	P52643	P52643		ldhA	0	0.0003013553454855201	0.22112506897200906	False	0.001018573996405033	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	3377119.940629527	3886444.697668468	3150788.829636373	135099716.28973523	139622087.1723313	131139266.5158141	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	0.0003135391686076476	-5.284340780458092	False	0.001048532055122828	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0AED0	53652482.92964695	54475667.40803386	52723650.123093165	45007286.521371335	46081891.919701904	44944418.91211554	P0AED0	P0AED0		uspA	0	0.0003215469745235292	0.2417690746621773	False	0.0010784901138406232	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P25746	11683956.183547538	11612073.66134655	12004905.95364	13801794.42599561	13504132.658754652	13751145.276117217	P25746	P25746		hflD	0	0.00033473556303078694	-0.21792432882216167	False	0.0011084481725584182	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	198922.0048280742	130695.61720000008	184284.4081727157	5236488.599732453	4995372.951232877	5382939.355700863	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)			3	0.00034259120749152646	-4.92527701285404	False	0.0011384062312762135	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0AGF2	2465671.716905398	2412653.9283920084	2497875.342835254	2897319.145622481	2864302.4442932573	2964637.774050254	P0AGF2	P0AGF2		ygdK	0	0.000362455394933522	-0.24248538734569178	False	0.0011683642899940085	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P76658	59045575.78559688	58440120.38182993	58283399.09616705	62356629.49348277	61878778.93091061	61800232.22309091	P76658	P76658		hldE	0	0.00045159043168766893	-0.08189760904509032	False	0.0011983223487118035	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	828688.4263487069	2954895.840461872	631372.5530788997	34362866.86976879	39001180.28477722	39634958.538578056	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)			0	0.0004516620725925628	-4.677766940045588	False	0.0012282804074295987	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	3649678.022297486	3610526.817555073	3678416.946342428	70073642.00607426	70068191.25602138	65803885.296946615	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.00047738544121085245	-4.2347612520348905	False	0.0012582384661473938	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A8Y3	8481143.825434348	8498515.124343162	8313681.608009412	9250704.182426168	9296301.338008491	9467551.501180546	P0A8Y3	P0A8Y3		yihX	0	0.0005445694966941628	-0.14741909012520105	False	0.0012881965248651888	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P0AEN1	23253382.106131352	23615610.973302662	23441716.4698517	26751310.492042672	26844622.36189025	26235330.25297906	P0AEN1	P0AEN1		fre	0	0.0005603992020961854	-0.18320938419238317	False	0.001318154583582984	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	1949473.294416181	1911850.4107989443	2318607.013432194	4001805.51186294	4066200.896752345	3780957.660421106	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)			0	0.0005708451517402746	-0.9390983630165551	False	0.0013481126423007788	True	False	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	198922.0048280742	4692972.767032576	184284.4081727157	48193688.40528781	48513451.35964078	49400711.55766489	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			2	0.0005730782824533941	-4.847146900733083	False	0.0013780707010185743	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	2192693.5329644303	2509670.7647732515	1886942.4164073712	68972079.9002177	69289371.46571645	74375377.84694295	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	0.0005777883041111246	-5.012121004732818	False	0.001408028759736369	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	557021.293047243	451188.69699862745	184284.4081727157	12665469.93623543	13955684.290003166	13988690.145369848	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			1	0.0005846201412294362	-5.089775104205798	False	0.0014379868184541643	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
P0A7W1	405494680.6493262	414298447.3197176	413477497.15704	372076236.8028579	367726404.9072855	377253983.7088042	P0A7W1	P0A7W1		rpsE	0	0.0005969949778308111	0.14278709482330446	False	0.0014679448771719593	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P61175	548226649.6226519	547952777.3323854	547090316.5170331	496698339.6598874	500303142.55505455	494938939.0725452	P61175	P61175		rplV	0	0.000609950060996203	0.13937939418939907	False	0.0014979029358897543	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P64463	60284917.69813284	61953522.91980112	61680312.34950677	67457965.54885013	67910895.1735098	68852769.70207982	P64463	P64463		ydfZ	0	0.000655100498230358	-0.15106709017361067	False	0.0015278609946075496	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P0A800	162726118.7488319	165924062.1002701	164779053.29077885	151671080.47865793	153600349.03740844	151285949.702184	P0A800	P0A800		rpoZ	0	0.0006666928559398203	0.11204700671086752	False	0.0015578190533253446	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P0ADU7	527096.4138360021	618523.1249999998	616676.3492518455	164621.3460515775	107663.49553277786	125002.16738030803	P0ADU7	P0ADU7		yqiB	3	0.000752447962154638	2.149202647864083	False	0.0015877771120431398	True	True	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P45795	1799198.4767329628	1659742.2500000014	1460709.364367229	3375610.5838230588	3481445.9342312	3504302.8927020845	P45795	P45795		yrdB	0	0.0008935129303239241	-1.0745856840907313	False	0.0016177351707609348	True	False	Ecoli	False	True	False	True	umpire	directlfq	min	1.660964047443681
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	7218352.088977397	4915136.79836989	8449528.576895965	27247938.306499068	27315970.53138038	26145244.137649	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)			0	0.0009585111790723252	-1.971277797965166	False	0.0016476932294787298	True	True	Human	True	False	False	True	umpire	directlfq	min	1.660964047443681
