protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ACR9	57146325.367985256	59050824.12376708	59371663.73249015	57052956.62034708	55313747.93698964	57134016.251215	P0ACR9	P0ACR9		mprA	0	0.0928787799961185	0.0507451892131458	False	0.008504842615012108	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P37051	13183794.353278866	13599839.39225396	13747988.145273704	14358420.27076459	14112112.844032891	13717850.272265846	P37051	P37051		purU	0	0.09387777826162036	-0.0577978994915309	False	0.008535108958837773	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A870	358578126.16790825	358614297.15307844	355821948.7221802	347836239.7424049	342253006.21122533	353922131.5342614	P0A870	P0A870		talB	0	0.09397023904210003	0.039531965521073575	False	0.008565375302663438	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0AEA8	631292.0109811072	653960.5799856489	524235.808517687	772690.7500000002	660988.2435287565	717488.6366832316	P0AEA8	P0AEA8		cysG	0	0.09399603046642442	-0.2495380927571531	False	0.008595641646489105	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0A7D7	43292033.548226975	42166856.6358886	42723831.29355185	42096846.85109043	41076404.29078555	39956968.37091696	P0A7D7	P0A7D7		purC	0	0.09404795926810397	0.058016923519199695	False	0.00862590799031477	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P07021	2117858.8204681003	2221268.0956993825	2382659.908204426	2570446.306574221	2561737.316060026	2323168.118889127	P07021	P07021		yfiB	0	0.09416921470993839	-0.14943163053304023	False	0.008656174334140437	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P24178	6527478.099195557	6149970.629482385	5953065.980557349	5515899.242491836	5673152.794582763	5992425.779848718	P24178	P24178		yffB	0	0.0945492466590999	0.1168134012702978	False	0.008686440677966102	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P21889	133580868.80803353	130304182.12549868	128347873.82333624	128378376.31192993	126534993.25762293	123072065.83919436	P21889	P21889		aspS	0	0.09486049350198839	0.05337999772560311	False	0.008716707021791767	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P76502	8299878.186715379	7655333.8658286	7181463.267644199	6966359.650255789	6646409.098385967	6762658.687355418	P76502	P76502		sixA	0	0.09505898834474763	0.18335124329230826	False	0.008746973365617434	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
P0ABQ0	4880422.128112886	5101900.7228668295	5146325.436978482	5566386.354795281	5717690.549355462	5169501.737213318	P0ABQ0	P0ABQ0		coaBC	0	0.09611845234409952	-0.12111831158189132	False	0.008777239709443099	False	False	Ecoli	False	True	False	False	umpire	directlfq	min	0.5
