Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P75782	P75782		rlmF		1191930.0	956043.0	1039800.0	1133390.0	1111050.0	1092530.0	0	0.13566826664751624	0.13761652595541146	False	0.015242778119237861	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P61175	P61175		rplV		194751000.0	195736000.0	196741000.0	195314000.0	196376000.0	192270000.0	0	0.13587920218178146	-0.016058196226915466	False	0.015273509526736326	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9K9	P0A9K9		slyD		70329600.0	74095600.0	75499900.0	66316300.0	73753600.0	73030800.0	0	0.13634731825503654	-0.09113388813827261	False	0.015304240934234789	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6H1	P0A6H1		clpX		17306800.0	17137400.0	17034900.0	17135400.0	16847200.0	17163300.0	0	0.1365485305526071	0.016476072741311625	False	0.015334972341733253	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A948	P0A948		rimJ		445448.0	410940.0	364288.0	419927.0	335966.0	396449.0	0	0.13788645364997645	0.18339998186617104	False	0.015365703749231715	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q46927	Q46927		ygdL		1336220.0	1431750.0	1401270.0	1358460.0	1354090.0	1236890.0	0	0.13806869711105024	-0.09084927855392731	False	0.01539643515673018	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P03841	P03841		malM		9907050.0	9797170.0	9945680.0	10018900.0	9482390.0	10302700.0	0	0.13878629108069657	0.04870167786081481	False	0.015427166564228642	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P24205	P24205		msbB		2329850.0	2112670.0	2340550.0	2392700.0	2107550.0	2373720.0	0	0.13910957687017533	0.11319575693711197	False	0.015457897971727107	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AC47	P0AC47		frdB		17929500.0	18129900.0	17952700.0	17503600.0	18044500.0	17824600.0	0	0.1394430266595302	-0.02336096867382084	False	0.01548862937922557	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00888	P00888		aroF		1945070.0	1941990.0	2015540.0	1943390.0	2011610.0	1917950.0	0	0.1394676770522649	-0.03987664451207678	False	0.015519360786724033	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P06974	P06974		fliM		1521070.0	1477700.0	1542100.0	1589940.0	1516750.0	1597010.0	0	0.13985035094260714	0.05352488942942006	False	0.015550092194222495	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFD4	P0AFD4		nuoH		2756210.0	2532380.0	2486840.0	2540610.0	2510660.0	2805690.0	0	0.1402983839521471	0.1057420225394766	False	0.01558082360172096	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P14900	P14900		murD		2810980.0	2919850.0	2881470.0	2555770.0	2896820.0	2772760.0	0	0.14130311818524577	-0.09576498313690963	False	0.015611555009219423	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
