Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AEN8	P0AEN8		fucU		4826390.0	5123910.0	4864710.0	4883570.0	5347450.0	5199500.0	0	0.024872329569657178	-0.10462113727794764	False	0.009987782529016494	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9M8	P0A9M8		pta		45009000.0	43885500.0	44514600.0	44438500.0	43102800.0	42919500.0	0	0.02522874701387973	0.04433684060629846	False	0.010018326206475262	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABU7	P0ABU7		exbB		2172070.0	1835540.0	2332470.0	2301160.0	2044720.0	2023820.0	0	0.025437931793847665	0.20503128772232715	False	0.010048869883934025	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0C0S1	P0C0S1		mscS		7761510.0	8468310.0	7862120.0	8122900.0	8303160.0	8477180.0	0	0.02554927954998776	-0.08848953890699461	False	0.010079413561392792	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P45531	P45531		tusC		375468.0	294648.0	388727.0	351970.0	336838.0	314079.0	0	0.025560170914696773	0.2393017726921063	False	0.010109957238851558	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P05825	P05825		fepA		1984290.0	1874840.0	2077220.0	1993010.0	1923880.0	1822840.0	0	0.025574245275707494	0.10704204988100725	False	0.010140500916310325	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P16659	P16659		proS		10222800.0	10635700.0	10388900.0	10331800.0	10684000.0	10476400.0	0	0.025627899455926518	-0.03921343200822017	False	0.010171044593769092	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P13016	P13016		ampD		1995920.0	1786700.0	1917200.0	1868960.0	1747720.0	1724690.0	0	0.02572369262310517	0.13676989719879037	False	0.010201588271227855	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17993	P17993		ubiG		3184610.0	3011570.0	3147320.0	3272180.0	3058110.0	3003770.0	0	0.02579274074147898	0.0820007161299647	False	0.010232131948686623	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF36	P0AF36		zapB		7314800.0	6014240.0	7323110.0	7370690.0	5458810.0	6256780.0	0	0.025809229139769307	0.3118886729335813	False	0.010262675626145388	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9H7	P0A9H7		cfa		3782660.0	3451350.0	3804610.0	3776850.0	3590230.0	3573370.0	0	0.025809351804779834	0.09838839525344775	False	0.010293219303604155	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
