Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P37636	P37636		mdtE		3909910.0	3853950.0	3812220.0	3870320.0	3960870.0	3676330.0	0	0.29717137119552617	-0.0358360983527926	False	0.01781818181818182	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P77279	P77279		ybbL		2136980.0	2152350.0	2348800.0	2142990.0	2251360.0	2387590.0	0	0.29826330256763656	0.07024975359312995	False	0.01784848484848485	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7J7	P0A7J7		rplK		75919300.0	78089700.0	78130300.0	78167200.0	76930900.0	73129100.0	0	0.29866837450714917	-0.03766473525237215	False	0.01787878787878788	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P11880	P11880		murF		5631450.0	5874180.0	5724090.0	5842180.0	5541180.0	5245850.0	0	0.29897664796084944	-0.055922787708142546	False	0.01790909090909091	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A9F3	P0A9F3		cysB		3868110.0	3632700.0	3710110.0	3736240.0	3607450.0	3665860.0	0	0.29899465202041114	0.03476197577978462	False	0.01793939393939394	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P56258	P56258		wecF		515657.0	493066.0	435161.0	559703.0	512223.0	141001.0	1	0.299082205350874	-0.5194215739265591	False	0.017969696969696972	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P76112	P76112		yncA		1420300.0	1457520.0	1406250.0	1533250.0	1357350.0	1275670.0	0	0.2991822635015789	-0.08398689170265465	False	0.018000000000000002	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P02359	P02359		rpsG		171915000.0	173729000.0	173558000.0	175913000.0	172962000.0	161532000.0	0	0.2996549643805372	-0.04371819213742135	False	0.018030303030303032	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P37652	P37652		bcsB		5027940.0	5158240.0	5100760.0	4904340.0	4963920.0	5412530.0	0	0.2996735550688434	0.04859167617233132	False	0.01806060606060606	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A7G6	P0A7G6		recA		11483700.0	11672400.0	11315700.0	11322000.0	11484400.0	10744500.0	0	0.3000669447329084	-0.03965912936194663	False	0.01809090909090909	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
