Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A9M8	P0A9M8		pta		46779700.0	45512900.0	47005200.0	46725700.0	47377300.0	47844800.0	0	0.10553623254437727	0.03292360347687229	False	0.017306520414381476	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P38134	P38134		etk		4715780.0	4765460.0	4772710.0	4669960.0	4823510.0	4769360.0	0	0.10623473921219183	0.02169184525938607	False	0.017336989640463134	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A8N5	P0A8N5		lysU		14436000.0	14251100.0	14454300.0	14342000.0	14525300.0	14759000.0	0	0.10695333028325058	0.023594377770800368	False	0.01736745886654479	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P36673	P36673		treR		891864.0	967698.0	871046.0	928596.0	900671.0	830386.0	0	0.10714252620145524	-0.09963424859388872	False	0.017397928092626448	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEV9	P0AEV9		hycI		521517.0	410436.0	357272.0	432000.0	352663.0	378563.0	0	0.10726337773533626	-0.3254551751440186	False	0.017428397318708107	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P17993	P17993		ubiG		4396760.0	4072000.0	3987920.0	4255040.0	3793530.0	4117360.0	0	0.10754189192850058	-0.09671230324343183	False	0.017458866544789765	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ABZ4	P0ABZ4		kdsC		4843400.0	4899550.0	4954690.0	4763540.0	4900650.0	5088460.0	0	0.1075894082683484	0.042848565839501175	False	0.01748933577087142	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P02943	P02943		lamB		1622130.0	1587530.0	1393950.0	1606430.0	1456000.0	1563220.0	0	0.107652548943334	-0.12604702997783596	False	0.01751980499695308	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A937	P0A937		bamE		7425930.0	7389050.0	7873100.0	7269180.0	8087030.0	7497890.0	0	0.10816141451475675	0.08706928761932839	False	0.017550274223034734	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A917	P0A917		ompX		15746900.0	15432700.0	15935800.0	16003900.0	16362600.0	16188600.0	0	0.10855775908675375	0.03931555423848306	False	0.017580743449116393	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P08395	P08395		sppA		2184430.0	2106790.0	2180740.0	2178690.0	2248270.0	2245510.0	0	0.11120186364107736	0.044918445030063356	False	0.01761121267519805	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75957	P75957		lolD		4825070.0	5205950.0	4573260.0	4946580.0	4864170.0	4660910.0	0	0.11186365313443028	-0.08728116246477492	False	0.01764168190127971	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P10121	P10121		ftsY		5551320.0	5622220.0	5608690.0	5598860.0	5694070.0	5712160.0	0	0.1123330252776338	0.02071122600503181	False	0.017672151127361365	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q46857	Q46857		dkgA		5690680.0	5666540.0	5553510.0	5918080.0	5640430.0	5478030.0	0	0.11256612736670886	-0.05128617772795103	False	0.017702620353443024	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AFG3	P0AFG3		sucA		9054930.0	8852850.0	8798050.0	8811410.0	8648610.0	8706420.0	0	0.11256935457456659	-0.030895412744022858	False	0.017733089579524682	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
