Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				289728.0	259166.0	889978.0	949457.0	830135.0	335463.0	0	0.00034404372375617667	-1.5939065950976585	False	0.0004496402877697842	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				400991.0	353084.0	1263770.0	1227820.0	1139680.0	347019.0	0	0.0003597779196989902	-1.7215365679739378	False	0.00047961630695443646	True	True	Human	True	False	False	True	umpire	manual	min	0.6609640474436812
P75829	P75829		ybjX		2361860.0	2367130.0	2320760.0	2310620.0	2316620.0	2362120.0	0	0.0005423033242154694	0.029413721957066465	False	0.0005095923261390888	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				216047.0	284230.0	645894.0	755818.0	711222.0	287594.0	0	0.0005835798879990115	-1.4232163654590673	False	0.000539568345323741	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P18355	P18355				2207670.0	2226370.0	2781400.0	2766280.0	2814990.0	2113450.0	0	0.0010148470394895828	-0.3530216826403405	False	0.0005695443645083934	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P68679	P68679		rpsU		44751400.0	44804600.0	42240400.0	42908100.0	42271500.0	45329000.0	0	0.0010704520282004797	0.08213817853269319	False	0.0005995203836930455	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AEU7	P0AEU7		skp		25890600.0	25702400.0	24673100.0	24587100.0	24924900.0	26038200.0	0	0.001225044186827327	0.06550713633388355	False	0.0006294964028776979	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)				317383.0	331789.0	626568.0	653432.0	682916.0	319081.0	0	0.0012748263685926932	-1.0195424648212927	False	0.0006594724220623502	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				514841.0	634355.0	1293700.0	1524160.0	1363220.0	620075.0	0	0.001647153758858312	-1.2407206047286303	False	0.0006894484412470024	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P69908	P69908		gadA		3594570.0	3410770.0	4185760.0	3994340.0	4087680.0	3417240.0	0	0.001718603038204728	-0.23516175407534734	False	0.0007194244604316548	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				83907.7	96915.2	279790.0	319903.0	272166.0	144767.0	2	0.0018625769388932712	-1.421038889316283	False	0.000749400479616307	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P18390	P18390		yjjA		1492740.0	1496640.0	1538020.0	1550760.0	1551620.0	1508810.0	0	0.001990027797403868	-0.04490456955040074	False	0.0007793764988009592	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A8L1	P0A8L1		serS		25876200.0	25535400.0	24613200.0	24391700.0	24764100.0	25589900.0	0	0.00205479913416331	0.0618718711232021	False	0.0008093525179856116	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0AG59	P0AG59		rpsN		27224800.0	27467300.0	26335000.0	26493700.0	26407000.0	27215700.0	0	0.002105821041874355	0.047850255348580985	False	0.0008393285371702639	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P0A9P6	P0A9P6		deaD		9478230.0	9568530.0	9308950.0	9256440.0	9249310.0	9538420.0	0	0.0021238033612866816	0.03941982965469308	False	0.0008693045563549161	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				624318.0	668197.0	1191680.0	1124510.0	1118680.0	506328.0	0	0.0023848409986343393	-0.9331862221173662	False	0.0008992805755395684	False	True	Human	True	False	False	False	umpire	manual	min	0.6609640474436812
P0AG44	P0AG44		rplQ		229544000.0	229097000.0	218399000.0	220981000.0	216448000.0	232386000.0	0	0.0026419698817678485	0.07542458345594907	False	0.0009292565947242207	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
P77330	P77330		borD		28268800.0	28987500.0	30887800.0	30301400.0	30304000.0	28567700.0	0	0.0027425089520371664	-0.09228338037681597	False	0.0009592326139088729	False	False	Ecoli	False	True	False	False	umpire	manual	min	0.6609640474436812
