Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P32099	0.737097204101618	0.013551157999025065	0.13247523612835613	non_sig	lplA		False	False	0.040227136879856545	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A7R9	0.7374175336225254	-0.005646771237227455	0.13228654036025003	non_sig	rpsK		False	False	0.040257023311416625	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P69425	0.7378865964381003	0.012078740607542215	0.13201037845548255	non_sig	tatB		False	False	0.04028690974297669	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P29012	0.7384309776394351	-0.0670589670560986	0.13169009267597495	non_sig	dadX		False	False	0.04031679617453676	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AC30	0.7388533874348053	0.02394479346811096	0.1314417312195514	non_sig	ftsX		False	False	0.040346682606096834	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P39099	0.7393211463966556	0.01173542502415259	0.1311668717383147	non_sig	degQ		False	False	0.0403765690376569	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P27431	0.7401935497273928	0.02887572609131439	0.13065470379914237	non_sig	ycfD		False	False	0.04040645546921698	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A9X9	0.7403982100708899	0.006658143360606772	0.13053463983441596	non_sig	cspA		False	False	0.04043634190077705	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P09158	0.7411052201268593	0.009732478089517826	0.13012012768006176	non_sig	speE		False	False	0.04046622833233712	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P18776	0.7416985592787033	0.017333402199962933	0.1297725645879316	non_sig	dmsB		False	False	0.04049611476389719	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A786	0.7429219860745206	0.005415249554303614	0.1290567889261013	non_sig	pyrB		False	False	0.04052600119545726	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P27829	0.743098736793876	0.005653732892724861	0.12895347695841589	non_sig	wecC		False	False	0.04055588762701734	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P64476	0.7432323008245167	0.01952583098947258	0.12887542419604184	non_sig	ydiH		False	False	0.04058577405857741	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P06612	0.7434606812211306	0.0033595650412117095	0.12874199470118006	non_sig	topA		False	False	0.04061566049013748	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0AGD1	0.7444960716987812	-0.026318612341011516	0.1281375894417493	non_sig	sodC		False	False	0.04064554692169755	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P25906	0.7451115955912753	0.033637552353741995	0.12777867796314438	non_sig	ydbC		False	False	0.04067543335325762	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P43672	0.7451897997176906	0.007565236986856405	0.12773309843043731	non_sig	uup		False	False	0.0407053197848177	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P05041	0.7475767138545775	0.027299054270283563	0.12634423485067606	non_sig	pabB		False	False	0.040735206216377766	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P77150	0.7477770315256835	-0.007038780761927654	0.12622787862395948	non_sig	pdxY		False	False	0.04076509264793784	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P77529	0.7481953828283832	0.012182952543557946	0.12598497619440602	non_sig	ydjN		False	False	0.04079497907949791	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P76578	0.7491278177498129	-0.02994159950613451	0.1254440757484623	non_sig	yfhM		False	False	0.040824865511057976	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A9A9	0.7501514615699776	0.0043009102254067955	0.12485104023100704	non_sig	fur		False	False	0.040854751942618055	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P13029	0.751658234593978	0.002305429795981695	0.12397958037687566	non_sig	katG		False	False	0.04088463837417813	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P22259	0.7523322878769019	0.004124161363375123	0.12359029914603162	non_sig	pckA		False	False	0.0409145248057382	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P39411	0.7529878037928184	-0.009386317363805574	0.12321205804680914	non_sig	yjjX		False	False	0.040944411237298264	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P23845	0.7536204574097609	0.006424823315420269	0.12284732091105957	non_sig	cysN		False	False	0.04097429766885834	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P06987	0.7544763340249229	-0.00921275852103065	0.12235437837159929	non_sig	hisB		False	False	0.041004184100418416	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P76104	0.755642692925228	-0.04026626917386622	0.12168351292853637	non_sig	ydcP		False	False	0.04103407053197849	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P12282	0.7562584052567272	0.034422952350677605	0.12132978544845982	non_sig	moeB		False	False	0.04106395696353855	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
Q57154	0.7570877689809592	-0.10907205630842398	0.12085376993909919	non_sig	repB		False	False	0.041093843395098625	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P0A9U3	0.7576152826289132	-0.002341478725938373	0.12055127332043367	non_sig	ybiT		False	False	0.0411237298266587	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
P13024	0.7577843208560624	-0.008396887960902433	0.12045438485693234	non_sig	fdhE		False	False	0.04115361625821878	False	Ecoli	False	True	False	False	umpire	AlphaPeptStats	randomforest	0.6609640474436812
