Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P09424	P09424		mtlD		2.25379e+06	2.345e+06	2.2964e+06	2.30685e+06	2.31791e+06	2.20637e+06
P09546	P09546		putA		1.85144e+06	1.82878e+06	1.81507e+06	1.85435e+06	1.74076e+06	1.7386e+06
P09549	P09549		dedD		1.21059e+06	1.23598e+06	1.33456e+06	1.22988e+06	1.19988e+06	1.2113e+06
P09831	P09831		gltB		2.52421e+06	2.5029e+06	2.56259e+06	2.6113e+06	2.58813e+06	2.42226e+06
P09832	P09832		gltD		2.90909e+06	2.86135e+06	2.88725e+06	2.93736e+06	2.88178e+06	2.88377e+06
P0A698	P0A698		uvrA		2.60216e+06	2.48756e+06	2.47888e+06	2.53549e+06	2.55855e+06	2.52931e+06
P0A6A0	P0A6A0		ubiB		1.67771e+06	1.45461e+06	1.64457e+06	1.6073e+06	1.64065e+06	1.6365e+06
P0A6A3	P0A6A3		ackA		1.86494e+08	1.88563e+08	1.84436e+08	1.88725e+08	1.85713e+08	1.80764e+08
P0A6A8	P0A6A8		acpP		1.48603e+08	1.51864e+08	1.49158e+08	1.56389e+08	1.49211e+08	1.43839e+08
P0A6B4	P0A6B4		alr		3.29674e+06	3.34847e+06	3.31977e+06	3.21237e+06	3.23677e+06	3.27696e+06
P0A6B7	P0A6B7		iscS		1.77139e+07	1.75867e+07	1.78362e+07	1.78983e+07	1.77232e+07	1.73073e+07
P0A6C1	P0A6C1		nfo		1.72718e+06	1.69023e+06	1.74578e+06	1.83392e+06	1.76935e+06	1.7122e+06
P0A6D0	P0A6D0		argR		1.38608e+06	1.29014e+06	1.31705e+06	1.3808e+06	1.36689e+06	1.50492e+06
P0A6D3	P0A6D3		aroA		5.4765e+06	5.24816e+06	5.36743e+06	5.48651e+06	5.26769e+06	5.13186e+06
