Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AD57	P0AD57		ispB		1.3396e+06	1.25178e+06	1.34265e+06	1.21302e+06	1.24415e+06	1.21631e+06
P0AD59	P0AD59		ivy		3.26698e+06	3.07146e+06	3.23298e+06	2.97329e+06	2.82722e+06	2.85276e+06
P0AD61	P0AD61		pykF		4.94867e+07	4.97071e+07	4.9732e+07	4.92673e+07	4.91306e+07	4.94623e+07
P0AD68	P0AD68		ftsI		473316	416953	473141	535630	491200	539852
P0ADA1	P0ADA1		tesA		686984	581492	672028	586973	684029	803947
P0ADA3	P0ADA3		nlpD		6.59387e+06	6.21047e+06	6.22663e+06	6.07069e+06	6.26621e+06	6.37552e+06
P0ADA5	P0ADA5		yajG		1.6876e+07	1.75845e+07	1.6895e+07	1.77963e+07	1.75524e+07	1.81574e+07
P0ADA7	P0ADA7		osmB		2.45416e+06	2.58682e+06	2.52684e+06	2.45755e+06	2.08993e+06	2.2438e+06
P0ADB1	P0ADB1		osmE		1.69431e+07	1.70047e+07	1.68783e+07	1.61866e+07	1.63368e+07	1.60902e+07
P0ADB7	P0ADB7		ecnB		1.13625e+07	1.11149e+07	1.14561e+07	1.14545e+07	1.25595e+07	1.18981e+07
P0ADC1	P0ADC1		lptE		4.63746e+06	4.57525e+06	4.47038e+06	6.88601e+06	6.32893e+06	6.65192e+06
P0ADC3	P0ADC3		lolC		1.83867e+06	1.71255e+06	1.72229e+06	1.7511e+06	1.81953e+06	1.77396e+06
P0ADE4	P0ADE4		tamA		3.66163e+06	3.91193e+06	3.9163e+06	3.95114e+06	3.99901e+06	3.83005e+06
P0ADE6	P0ADE6		ygaU		447061	535290	543565	503773	492219	391479
P0ADE8	P0ADE8		ygfZ		1.09846e+07	1.07868e+07	1.05837e+07	1.09777e+07	1.07512e+07	1.07281e+07
P0ADF6	P0ADF6		edd		896046	750522	533563	731714	608963	595276
P0ADG4	P0ADG4		suhB		1.57175e+07	1.5344e+07	1.54709e+07	1.52159e+07	1.5717e+07	1.54495e+07
P0ADG7	P0ADG7		guaB		4.5707e+07	4.46154e+07	4.72485e+07	4.7419e+07	4.65656e+07	4.71447e+07
P0ADH5	P0ADH5		fimB		898896	835881	953880	954334	949807	902081
P0ADI7	P0ADI7		yecD		8.83979e+06	9.13368e+06	8.71797e+06	9.14587e+06	8.50177e+06	8.72911e+06
P0ADK0	P0ADK0		yiaF		1.68853e+07	1.66937e+07	1.68607e+07	1.606e+07	1.62435e+07	1.62036e+07
P0ADK8	P0ADK8		yibL		8.84441e+06	9.47823e+06	9.21476e+06	9.33894e+06	8.85469e+06	8.76303e+06
P0ADN2	P0ADN2		yifE		7.80621e+06	7.6311e+06	7.68639e+06	7.45132e+06	7.42174e+06	7.37068e+06
P0ADP0	P0ADP0		yigB		1.16052e+06	1.13281e+06	1.16811e+06	1.15298e+06	1.19827e+06	1.23566e+06
P0ADP7	P0ADP7		yigP		2.16081e+06	1.78174e+06	2.0324e+06	1.74422e+06	2.03645e+06	1.9187e+06
P0ADP9	P0ADP9		yihD		4.71402e+06	4.86153e+06	4.73609e+06	4.48495e+06	4.27882e+06	4.43323e+06
P0ADQ7	P0ADQ7		ygaM		1.24963e+07	1.23746e+07	1.22136e+07	1.21893e+07	1.23798e+07	1.26045e+07
P0ADR6	P0ADR6		rlmM		3.34509e+06	3.63827e+06	3.48948e+06	4.00507e+06	3.61795e+06	3.64343e+06
P0ADR8	P0ADR8		ygdH		8.94788e+06	9.21775e+06	9.06702e+06	9.08266e+06	8.79726e+06	8.88496e+06
P0ADS2	P0ADS2		zapA		1.58891e+07	1.61092e+07	1.60699e+07	1.58596e+07	1.58149e+07	1.55967e+07
