Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P63177	P63177		rlmB		3.07041e+06	2.9364e+06	2.8945e+06	3.07595e+06	2.95184e+06	2.91574e+06
P63224	P63224		gmhA		3.02362e+07	3.04587e+07	3.06043e+07	3.05008e+07	3.09194e+07	2.91364e+07
P63228	P63228		gmhB		4.76782e+06	4.48707e+06	4.84799e+06	4.06823e+06	5.00295e+06	5.37759e+06
P63235	P63235		gadC		3.04006e+06	3.15636e+06	3.10473e+06	2.90333e+06	3.09369e+06	3.08879e+06
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				8.95962e+06	1.62861e+07	4.5045e+06	1.68324e+07	4.21824e+06	2.47263e+06
P63284	P63284		clpB		1.88749e+07	1.91149e+07	1.89876e+07	1.92417e+07	1.87494e+07	1.85896e+07
P63386	P63386		mlaF		990163	1.06955e+06	1.09602e+06	1.07605e+06	1.09109e+06	991666
P63389	P63389		yheS		4.34055e+06	4.36815e+06	4.39322e+06	4.37798e+06	4.33038e+06	4.40317e+06
P63417	P63417		yhbS		6.84252e+06	6.49972e+06	7.13335e+06	6.78002e+06	7.12185e+06	7.13506e+06
P63883	P63883		amiC		1.05789e+06	1.17565e+06	1.21641e+06	1.17658e+06	1.23402e+06	993040
P64423	P64423		zntB		403624	476166	425416	426362	517478	326879
P64429	P64429		ypfJ		1.19093e+06	1.08924e+06	1.14418e+06	1.23877e+06	1.16955e+06	1.17403e+06
P64451	P64451		ydcL		2.35692e+06	2.51715e+06	2.31175e+06	2.43773e+06	2.52157e+06	2.28907e+06
P64455	P64455		ydcY		9.22226e+06	7.86349e+06	7.47833e+06	6.7215e+06	7.67946e+06	6.88703e+06
P64463	P64463		ydfZ		4.70086e+07	4.66594e+07	4.6169e+07	4.90601e+07	4.67183e+07	4.49068e+07
P64467	P64467		cnu		3.09814e+06	2.88094e+06	2.91923e+06	2.94942e+06	2.94307e+06	2.97079e+06
P64476	P64476		ydiH		1.5346e+06	1.16288e+06	2.24359e+06	1.63002e+06	2.02237e+06	1.97547e+06
P64483	P64483		yeaK		4.40033e+06	4.47997e+06	4.44718e+06	4.75751e+06	4.68239e+06	4.31781e+06
P64493	P64493		yoaF		2.14816e+06	2.05288e+06	1.91086e+06	2.05141e+06	1.96072e+06	2.10381e+06
P64499	P64499		yebO		3.54197e+06	3.44177e+06	3.7797e+06	3.6172e+06	3.70826e+06	3.53659e+06
P64506	P64506		yebY		2.04735e+06	2.01656e+06	1.89996e+06	1.94456e+06	1.84302e+06	1.91565e+06
P64519	P64519		yodD		458847	340670	430261	432411	376248	410802
P64534	P64534		rcnB		2.84244e+06	2.91394e+06	2.82428e+06	2.9725e+06	2.85617e+06	2.94732e+06
P64540	P64540		yfcL		8.46854e+06	7.75196e+06	7.55357e+06	8.35244e+06	7.96434e+06	7.6603e+06
P64545	P64545		yfgG		759701	676582	770778	829710	683005	752817
P64548	P64548		yfiR		473389	455245	455857	515333	498187	388788
P64554	P64554		queE		4.00037e+06	3.87875e+06	4.08259e+06	3.89073e+06	3.869e+06	3.99948e+06
P64559	P64559		cptB		680948	546589	554703	692761	435632	527588
P64581	P64581		yqjD		2.96348e+07	3.1416e+07	3.18387e+07	3.1271e+07	3.12224e+07	3.08699e+07
P64585	P64585		yqjE		599198	702174	677636	662715	771485	655760
P64588	P64588		yqjI		1.87188e+06	1.7681e+06	1.6864e+06	1.87008e+06	1.987e+06	2.33459e+06
P64596	P64596		yraP		1.26232e+07	1.21199e+07	1.26033e+07	1.24166e+07	1.2845e+07	1.32018e+07
P64599	P64599		yhbT		4.97573e+06	4.97471e+06	5.03861e+06	5.05106e+06	5.00543e+06	5.1574e+06
P64602	P64602		mlaB		1.96124e+06	2.02292e+06	1.96745e+06	2.0696e+06	1.99043e+06	1.78555e+06
P64604	P64604		mlaD		1.44154e+07	1.41054e+07	1.44051e+07	1.43709e+07	1.44713e+07	1.4277e+07
P64606	P64606		mlaE		496156	614149	547111	486985	497733	527431
P64612	P64612		yhcM		1.18154e+06	1.26775e+06	1.17945e+06	1.23666e+06	1.18755e+06	1.29985e+06
P64624	P64624		yheO		3.35204e+06	3.34987e+06	3.24438e+06	3.27452e+06	3.23922e+06	3.20887e+06
P64636	P64636		yrfG		2.79734e+06	2.94879e+06	2.75455e+06	2.86679e+06	2.84794e+06	2.65564e+06
P65367	P65367		yqcA		2.81269e+06	2.34464e+06	2.98789e+06	2.82274e+06	2.97781e+06	2.79275e+06
P65556	P65556		yfcD		2.57102e+06	2.23866e+06	2.33482e+06	2.45911e+06	2.38139e+06	2.46509e+06
P65870	P65870		queD		3.43342e+06	3.31722e+06	3.19849e+06	3.39469e+06	3.42505e+06	3.3337e+06
P66817	P66817		diaA		3.43799e+06	3.32661e+06	3.12318e+06	3.26562e+06	3.22416e+06	3.06817e+06
P66948	P66948		yfgC		2.51438e+06	2.35193e+06	2.06126e+06	2.29388e+06	2.27959e+06	2.23212e+06
P67080	P67080		yggS		4.54773e+06	4.4712e+06	4.11665e+06	4.22281e+06	4.21167e+06	4.38658e+06
P67087	P67087		rsmI		3.24796e+06	3.21123e+06	3.29118e+06	3.37331e+06	3.33123e+06	3.20906e+06
P67095	P67095		yfcE		1.60737e+06	1.4397e+06	1.40284e+06	1.25022e+06	1.46277e+06	1.61821e+06
P67244	P67244		yqhA		680494	665185	562532	709353	688205	791886
P67338	P67338		yoaH		689240	635401	599590	674912	645323	697586
P67603	P67603		yqfB		3.37281e+06	3.37021e+06	3.42442e+06	3.33768e+06	3.30298e+06	3.2858e+06
P67660	P67660		yhaJ		3.14243e+06	3.50008e+06	3.09685e+06	3.14512e+06	3.1363e+06	3.02045e+06
P67826	P67826		cutC		2.14785e+06	2.25722e+06	2.22987e+06	2.25469e+06	2.29384e+06	2.12242e+06
P67910	P67910		hldD		2.01755e+07	2.03833e+07	2.05464e+07	2.02925e+07	2.04248e+07	2.04126e+07
P68066	P68066		grcA		3.0604e+08	3.14378e+08	3.12397e+08	3.07961e+08	3.07402e+08	3.0786e+08
P68187	P68187		malK		1.81796e+06	1.80362e+06	1.70987e+06	1.70325e+06	1.62078e+06	1.69547e+06
P68191	P68191		sra		1.21505e+06	1.08593e+06	1.16954e+06	1.17155e+06	1.16082e+06	1.10735e+06
P68206	P68206		yjbJ		3.48178e+06	3.32958e+06	3.46598e+06	3.3443e+06	3.39625e+06	3.51282e+06
P68398	P68398		tadA		1.30812e+06	1.33297e+06	1.4279e+06	1.10647e+06	1.39009e+06	1.01082e+06
P68567	P68567		rsmJ		2.97022e+06	3.22017e+06	3.09421e+06	3.19715e+06	3.35032e+06	3.05364e+06
P68679	P68679		rpsU		8.56481e+07	8.579e+07	8.79534e+07	8.69995e+07	8.86949e+07	8.68726e+07
P68688	P68688		grxA		2.18346e+06	2.0632e+06	1.80878e+06	1.85098e+06	2.06057e+06	2.07297e+06
P68699	P68699		atpE		3.47106e+06	3.49742e+06	2.98084e+06	3.25505e+06	3.17096e+06	3.49236e+06
P68767	P68767		pepA		1.00568e+07	1.03993e+07	1.03771e+07	1.03618e+07	1.0239e+07	9.93033e+06
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				1.45554e+07	1.48247e+07	3.22825e+06	1.42358e+07	3.18471e+06	1.99667e+06
P68919	P68919		rplY		8.3379e+07	8.36167e+07	8.97186e+07	8.19843e+07	8.57075e+07	8.52095e+07
P69222	P69222		infA		1.58551e+07	1.5988e+07	1.74901e+07	1.6809e+07	1.76325e+07	1.72269e+07
P69228	P69228		baeR		2.9626e+06	2.8622e+06	2.88121e+06	2.97445e+06	2.84666e+06	3.05312e+06
P69330	P69330		citD		1.20839e+07	1.10622e+07	1.10901e+07	1.12411e+07	1.08992e+07	1.1386e+07
P69346	P69346		yefM		1.00906e+06	1.01634e+06	1.11095e+06	1.015e+06	1.03525e+06	968417
P69407	P69407		rcsB		6.36221e+06	6.7617e+06	6.77798e+06	6.61325e+06	6.58389e+06	6.41269e+06
P69411	P69411		rcsF		6.7914e+06	6.61423e+06	6.74896e+06	7.07204e+06	7.16713e+06	7.087e+06
P69425	P69425		tatB		3.05362e+06	3.05144e+06	3.35306e+06	3.03336e+06	3.27003e+06	3.05404e+06
P69428	P69428		tatA		2.75974e+07	2.52903e+07	2.53875e+07	2.99646e+07	3.04989e+07	2.53438e+07
P69441	P69441		adk		5.10848e+07	5.12726e+07	5.01537e+07	5.03625e+07	4.97338e+07	5.07674e+07
P69488	P69488		cutA		178859	175482	175203	164407	124947	171832
P69490	P69490		ccmE		606594	599563	658203	568576	583798	535835
P69503	P69503		apt		2.80896e+07	2.65856e+07	2.74553e+07	2.68203e+07	2.77136e+07	2.87968e+07
P69741	P69741		hybO		2.51604e+06	2.47774e+06	2.71435e+06	2.54995e+06	2.68476e+06	2.53168e+06
P69776	P69776		lpp		3.90137e+07	3.78729e+07	3.96547e+07	3.93113e+07	3.92335e+07	3.70054e+07
P69783	P69783		crr		1.62094e+08	1.696e+08	1.68319e+08	1.63321e+08	1.66083e+08	1.58332e+08
P69786	P69786		ptsG		5.63075e+06	5.36565e+06	5.47478e+06	5.38293e+06	5.49232e+06	5.49058e+06
P69791	P69791		chbA		243030	307122	254431	294853	296822	199151
P69795	P69795		chbB		610820	553787	536224	581332	498095	549571
P69797	P69797		manX		1.35415e+07	1.35037e+07	1.33719e+07	1.36056e+07	1.33716e+07	1.36278e+07
P69801	P69801		manY		1.24136e+06	1.20882e+06	1.19488e+06	1.26606e+06	1.34782e+06	1.49187e+06
P69805	P69805		manZ		5.66854e+06	5.73374e+06	5.45858e+06	5.75799e+06	5.31206e+06	5.74464e+06
P69811	P69811		fruB		1.39255e+07	1.36766e+07	1.42933e+07	1.40659e+07	1.45434e+07	1.48736e+07
P69829	P69829		ptsN		1.11279e+06	1.17508e+06	1.18946e+06	1.15827e+06	1.22272e+06	1.18166e+06
P69853	P69853		dmsD		1.38966e+06	1.317e+06	1.34195e+06	1.34349e+06	1.33684e+06	1.3739e+06
