Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P38134	P38134		etk		4.84058e+06	4.87772e+06	4.76375e+06	4.84401e+06	4.77127e+06	5.06137e+06
P38489	P38489		nfnB		5.6742e+06	5.70658e+06	5.75712e+06	5.83468e+06	5.57583e+06	5.32587e+06
P38506	P38506		ygdG		662631	710117	641044	725482	626384	732837
P38521	P38521		yggL		3.90848e+06	3.89905e+06	3.42863e+06	3.84917e+06	3.37914e+06	1.36044e+06
P39099	P39099		degQ		5.65241e+06	5.45228e+06	5.1153e+06	5.31192e+06	5.2704e+06	5.54479e+06
P39160	P39160		uxuB		1.27391e+06	1.31353e+06	1.41631e+06	1.40029e+06	1.45616e+06	1.24797e+06
P39172	P39172		znuA		4.49528e+06	4.41063e+06	4.49086e+06	4.5468e+06	4.54028e+06	3.96468e+06
P39173	P39173		yeaD		1.73276e+07	1.72857e+07	1.76073e+07	1.73094e+07	1.7106e+07	1.52755e+07
P39177	P39177		uspG		2.73962e+07	2.7345e+07	2.63606e+07	2.39643e+07	2.54547e+07	2.2618e+07
P39199	P39199		prmB		4.45602e+06	4.55119e+06	4.21245e+06	4.39965e+06	4.20919e+06	4.41423e+06
P39280	P39280		epmB		1.21537e+06	1.29795e+06	1.51674e+06	1.58436e+06	1.46751e+06	1.60718e+06
P39286	P39286		rsgA		2.32241e+06	2.22411e+06	2.18035e+06	2.3376e+06	2.33614e+06	2.24487e+06
P39298	P39298		yjfP		761898	670358	584342	759549	746950	962815
P39315	P39315		qorB		2.98895e+06	3.01038e+06	3.05837e+06	3.08841e+06	3.09274e+06	2.94619e+06
P39321	P39321		tamB		834836	871854	826239	847583	785852	865700
P39325	P39325		ytfQ		1.40105e+06	1.47638e+06	1.83552e+06	1.73964e+06	1.92061e+06	1.60663e+06
P39342	P39342		yjgR		1.05451e+06	1.18666e+06	1.07552e+06	1.06691e+06	1.07341e+06	1.10321e+06
P39347	P39347		intB		807806	820923	881252	950424	969412	1.03217e+06
P39377	P39377		iadA		5.16441e+06	4.94311e+06	5.05169e+06	4.91313e+06	4.97716e+06	5.26953e+06
P39384	P39384		yjiM		1.4166e+06	1.55702e+06	1.7001e+06	1.63552e+06	1.59099e+06	1.6474e+06
P39396	P39396		yjiY		5.92189e+06	5.90357e+06	5.7626e+06	5.9726e+06	5.6108e+06	6.13382e+06
P39401	P39401		mdoB		1.10814e+06	1.1272e+06	996015	1.12977e+06	1.16552e+06	1.07998e+06
P39406	P39406		rsmC		1.02489e+07	1.04536e+07	1.11914e+07	1.10081e+07	1.09648e+07	1.14376e+07
P39411	P39411		yjjX		2.57593e+06	2.67886e+06	2.72536e+06	2.84818e+06	2.90114e+06	2.89533e+06
P39451	P39451		adhP		1.64614e+06	1.64089e+06	1.69879e+06	1.68457e+06	1.78e+06	1.77521e+06
P39829	P39829		garD		479213	473551	416869	394216	433232	698657
P39830	P39830		ybaL		1.60535e+06	1.41325e+06	1.73542e+06	1.62048e+06	1.5792e+06	1.15679e+06
P39831	P39831		ydfG		1.00452e+07	9.62582e+06	9.55248e+06	9.82394e+06	9.07854e+06	8.89909e+06
P39838	P39838		rcsD		401922	475978	481576	437210	462015	381060
P40120	P40120		mdoD		4.00415e+06	4.02844e+06	3.95196e+06	4.03561e+06	3.97289e+06	4.16726e+06
P40191	P40191		pdxK		1.96955e+06	1.98e+06	1.90012e+06	1.83221e+06	1.88861e+06	2.24184e+06
P40710	P40710		nlpE		2.36258e+06	2.31291e+06	2.12846e+06	2.24178e+06	2.08835e+06	2.24871e+06
P40719	P40719		qseC		315850	296702	344513	305611	353337	367960
P40874	P40874		solA		2.84851e+06	2.7902e+06	2.92318e+06	2.99098e+06	2.98015e+06	2.9802e+06
P41052	P41052		mltB		1.00929e+06	1.06573e+06	970399	920303	973401	1.01485e+06
P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)				3.31864e+06	3.30977e+06	1.57895e+07	1.67678e+07	1.73218e+07	3.33604e+06
P41407	P41407		azoR		3.47176e+06	3.61286e+06	3.79272e+06	3.88932e+06	3.64685e+06	3.41771e+06
P41409	P41409		rihA		900574	928199	924091	920217	1.03865e+06	1.18321e+06
P42596	P42596		rlmG		2.32287e+06	2.18212e+06	2.40821e+06	2.35235e+06	2.36701e+06	2.19571e+06
P42616	P42616		yqjC		379544	379023	365506	375668	347728	
P42628	P42628		yhaO		1.15203e+07	1.09783e+07	1.07954e+07	8.96276e+06	9.92448e+06	1.1544e+07
P42632	P42632		tdcE		3.21717e+06	3.27621e+06	3.27602e+06	3.21867e+06	3.29368e+06	3.14578e+06
P42641	P42641		obgE		7.87477e+06	7.94901e+06	7.63828e+06	7.49256e+06	7.66183e+06	6.89432e+06
P43329	P43329		hrpA		1.33654e+06	1.33429e+06	1.47899e+06	1.49819e+06	1.4628e+06	1.36056e+06
P43533	P43533		flgN		1.23339e+06	1.27244e+06	1.47552e+06	1.42179e+06	1.39727e+06	1.2569e+06
P43671	P43671		pqiB		353915	288791	331704	354728	349776	356700
P43672	P43672		uup		2.28519e+06	2.28749e+06	2.14465e+06	2.10188e+06	2.22025e+06	1.99152e+06
P45395	P45395		kdsD		2.38456e+06	2.37049e+06	2.63423e+06	2.69802e+06	2.67983e+06	2.24311e+06
P45464	P45464		lpoA		3.98086e+06	4.09247e+06	3.90935e+06	3.88271e+06	3.97052e+06	4.12083e+06
P45469	P45469		yraR		888104	886258	974778	947340	858376	747575
P45470	P45470		yhbO		943935	924163	923558	795807	944192	857425
P45475	P45475		yhbV		1.15013e+06	1.32903e+06	1.12986e+06	1.27034e+06	1.19375e+06	1.12476e+06
P45523	P45523		fkpA		3.44684e+07	3.50868e+07	3.30729e+07	3.29603e+07	3.32459e+07	3.31703e+07
P45530	P45530		tusB		498058	429738	412508	409876	386763	413238
P45568	P45568		dxr		731111	679548	623121	683128	505854	710075
P45577	P45577		proQ		1.39114e+07	1.4179e+07	1.35264e+07	1.39361e+07	1.39174e+07	1.37411e+07
