Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.07704e+07	8.75084e+07	8.29969e+07	9.00998e+07	8.44394e+07	9.11101e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.10037e+08	1.09216e+08	1.0909e+08	1.08952e+08	1.11473e+08	1.09615e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.30291e+08	1.33589e+08	1.32155e+08	1.2939e+08	1.30915e+08	1.30088e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.16109e+07	6.11816e+07	6.16428e+07	6.04482e+07	6.28476e+07	6.12741e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.54039e+07	3.19032e+07	3.62718e+07	3.16763e+07	3.41648e+07	3.12863e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.78448e+07	7.86675e+07	7.92299e+07	7.71019e+07	7.78205e+07	7.77233e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	30	30	7.84973e+07	7.693e+07	7.67901e+07	7.72766e+07	8.06671e+07	7.68888e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	1.00602e+08	9.7164e+07	9.91832e+07	1.02746e+08	1.01925e+08	1.0208e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	30	30	1.78688e+07	1.86394e+07	1.8625e+07	1.89251e+07	1.82152e+07	1.83239e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		15	15	1.58855e+08	3.74148e+06	1.5258e+08	3.42945e+06	1.53427e+08	4.13498e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	7.89677e+07		8.30429e+07		8.15584e+07	
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4	1.12242e+08	3.68514e+06	1.11509e+08	4.64865e+06	1.11361e+08	
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	6.03912e+07		5.29756e+07		5.64777e+07	
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	7.406e+07		6.93898e+07		7.1126e+07	
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	1.00363e+08		9.75962e+07		9.77317e+07	
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		8	8	1.35303e+08	3.28451e+06	1.41173e+08	4.41549e+06	1.41155e+08	3.30537e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		9	9	1.5516e+08	3.89465e+06	1.48497e+08		1.59326e+08	3.09875e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	12	12	8.62623e+08	9.4207e+08	9.2469e+08	9.53365e+08	8.8824e+08	9.28958e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.06661e+08	9.10636e+08	8.99144e+08	9.41694e+08	9.49535e+08	9.35524e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	7.54539e+08	8.44126e+08	7.96067e+08	8.47402e+08	7.73505e+08	8.25493e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		7	7	1.7182e+07		1.85689e+07		1.85923e+07	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		4	4	1.90582e+07		2.10521e+07		2.0585e+07	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		23	23	2.66445e+08	5.51722e+06	2.75636e+08	5.50648e+06	2.6278e+08	5.87363e+06
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		20	20	1.36984e+08	7.14352e+06	1.30708e+08		1.34482e+08	
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		23	23	1.48024e+08	3.07145e+06	1.50791e+08	2.52108e+06	1.48223e+08	3.48947e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	1.44693e+07	1.41879e+07	1.51533e+07	1.45918e+07	1.48199e+07	1.46816e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	6.93561e+07	6.9074e+07	6.96639e+07	6.80788e+07	7.91458e+07	6.69978e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.30369e+07	4.13251e+07	4.26206e+07	4.19026e+07	4.16543e+07	4.15859e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.23763e+08	1.23914e+08	1.22041e+08	1.23452e+08	1.22544e+08	1.25482e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	16	15	1.96045e+08	1.98903e+08	2.09843e+08	2.00624e+08	1.9606e+08	1.96724e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.13296e+06	931074	1.48364e+06	1.08861e+06	1.09624e+06	1.04889e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	17	15	6.28245e+07	6.27509e+07	6.52607e+07	6.3966e+07	6.64416e+07	6.18464e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	9.0892e+06	9.96285e+06	8.49771e+06	8.8774e+06	9.94471e+06	9.80856e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	13	13	6.81328e+06	6.24314e+06	6.96512e+06	6.68343e+06	7.21388e+06	6.48297e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	2.64865e+06	2.86505e+06		2.44569e+06	2.37071e+06	2.24193e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	9.65911e+06	8.41004e+06	9.15245e+06	8.1181e+06	9.83011e+06	8.24039e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.43964e+06	2.77942e+06	2.2676e+06	2.34968e+06	2.55934e+06	1.86217e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	3	3	5.74735e+06	6.34006e+06	7.38416e+06	6.74455e+06	7.19115e+06	6.56736e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.80682e+07	3.69317e+07	4.02953e+07	3.57523e+07	3.76242e+07	3.71102e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.39071e+07	3.34631e+07	3.37091e+07	3.47579e+07	3.40713e+07	3.33696e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.50631e+07	3.30646e+07	3.3736e+07	3.37911e+07	3.3372e+07	3.41315e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24	5.41989e+07		5.46159e+07		5.50972e+07	
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	7.53018e+07	7.71899e+07	7.74009e+07	7.84083e+07	7.65372e+07	7.72592e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	1.62558e+07	1.56611e+07	1.62532e+07	1.50157e+07	1.70715e+07	1.55046e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.50206e+07	3.829e+07	3.671e+07	3.79167e+07	3.69666e+07	3.81208e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	5	5	2.91876e+07	2.66322e+07	2.97142e+07	2.62515e+07	2.72362e+07	2.70437e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.44289e+08	1.41074e+08	1.44432e+08	1.37625e+08	1.46789e+08	1.40578e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	28	28	7.5312e+07	7.40743e+07	7.43482e+07	7.15318e+07	7.55268e+07	7.28557e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	7.39858e+06	7.09087e+06	8.08946e+06	6.97145e+06	7.80355e+06	7.156e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.62953e+08	3.97186e+08	3.63147e+08	4.22445e+08	3.73752e+08	4.13016e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.93224e+07	3.69915e+07	3.80345e+07	3.70539e+07	3.79993e+07	3.70588e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.26613e+06	1.09597e+06	1.20366e+06	1.0934e+06	1.23862e+06	1.10423e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	4.81443e+06	5.63681e+06	5.87557e+06	6.62108e+06	5.7981e+06	6.40148e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.24216e+06	4.54696e+06	3.73362e+06	3.65635e+06	2.89242e+06	3.09092e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	7.32839e+06	7.72262e+06	7.16942e+06	7.2481e+06	7.33758e+06	7.43048e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.03731e+07	2.11167e+07	2.00132e+07	2.09006e+07	2.07774e+07	2.07648e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.85577e+06	5.29752e+06	5.13644e+06	5.3897e+06	5.38704e+06	5.36766e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	35	35	1.95652e+08	2.03384e+08	2.0099e+08	1.98557e+08	1.99989e+08	2.0264e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	6.81179e+06	5.37681e+06	6.29161e+06	4.79087e+06	6.0035e+06	5.27154e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.06314e+07	2.00946e+07	1.95764e+07	1.97845e+07	2.03351e+07	2.14902e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10	1.26504e+08	5.19986e+06	1.29425e+08	4.74387e+06	1.30435e+08	4.33578e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.76901e+06	6.42122e+06	6.74114e+06	6.67204e+06	6.59421e+06	6.65023e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	3.45312e+07	3.30625e+07	3.50916e+07	3.48566e+07	3.38945e+07	3.56241e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	944968	1.20157e+06	914670	900082		1.14437e+06
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.87514e+06	1.05772e+07	9.15178e+06	1.06126e+07	9.5566e+06	1.0336e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.06866e+07	1.25052e+07	1.05968e+07	1.15149e+07	8.72483e+06	1.29642e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	12	12	1.66541e+07	1.53364e+07	1.64071e+07	1.58921e+07	1.67019e+07	1.56171e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	2.14804e+07	2.2705e+07	2.28882e+07	2.13974e+07	2.11918e+07	2.26372e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	9.47761e+06	9.68983e+06	9.13408e+06	9.9435e+06	9.34109e+06	9.81811e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	8.02885e+06	9.16068e+06	9.33817e+06	9.64274e+06	9.24798e+06	8.6043e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	23	23	5.16909e+07	4.89003e+07	4.75312e+07	4.94696e+07	5.39192e+07	4.98873e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	2.71651e+07	2.91472e+07	2.71361e+07	3.25678e+07	2.52362e+07	2.93274e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.36921e+07	2.27639e+07	2.37154e+07	2.25061e+07	2.48893e+07	2.27283e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	8.13967e+06	7.22342e+06	8.70053e+06	7.31108e+06	8.36997e+06	7.83255e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		21	21	6.55799e+07		6.47286e+07	860174	6.39774e+07	1.11537e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.75082e+07	4.96648e+07	5.25294e+07	5.23305e+07	5.77804e+07	5.3473e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.16066e+06	1.24296e+06	1.29475e+06	1.41186e+06	1.37008e+06	1.36171e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	2.60248e+07	2.68183e+07	2.66742e+07	2.73595e+07	2.76024e+07	2.67106e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	8.0679e+06	8.38192e+06	8.63371e+06	8.19802e+06	8.03322e+06	8.39294e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	4.77023e+06	6.00114e+06	5.02411e+06	5.67315e+06	5.42326e+06	5.55542e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	4.49815e+06	5.43588e+06	4.43552e+06	4.91384e+06	4.75015e+06	4.99149e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.4671e+07	2.4326e+07	2.50664e+07	2.41214e+07	2.38044e+07	2.34624e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3		1.76375e+06	1.2323e+06	2.32182e+06	1.38215e+06	2.21019e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.46028e+06	2.25344e+06	2.39545e+06	2.56971e+06	2.34765e+06	2.49299e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		19	19	8.47127e+07	2.03e+06	8.47024e+07	2.34138e+06	8.5529e+07	1.78631e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.68373e+06	4.35091e+06	4.50524e+06	4.72437e+06	4.28876e+06	4.50582e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	39	39	2.91311e+08	3.07784e+08	2.9416e+08	3.10527e+08	3.01577e+08	3.063e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	8.68515e+06	9.73746e+06	9.00516e+06	9.16994e+06	8.93514e+06	9.18779e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	7.49979e+07	8.09767e+07	7.95063e+07	8.24415e+07	7.72945e+07	8.08872e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	18	18	7.45991e+07	7.55647e+07	7.74331e+07	7.72616e+07	7.4148e+07	7.30766e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	7	7	1.21791e+07	1.31105e+07	1.35433e+07	1.30851e+07	1.34722e+07	1.37584e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.53575e+07	5.63334e+07	5.53741e+07	5.6618e+07	5.56967e+07	5.77949e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.63553e+07	1.47597e+07	1.6436e+07	1.45248e+07	1.62377e+07	1.45767e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	3.47842e+06	3.74335e+06	3.15599e+06	3.64136e+06	3.63223e+06	3.65082e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.69244e+06	4.12933e+06	4.17061e+06	4.07494e+06	4.43233e+06	4.06795e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.40857e+08	1.34046e+08	1.39505e+08	1.25083e+08	1.40544e+08	1.36273e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	2	2	3.17148e+06	2.76931e+06	1.91832e+06	2.22632e+06	2.90495e+06	2.5252e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.24765e+09	1.35075e+09	1.30603e+09	1.34753e+09	1.2718e+09	1.351e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.46471e+06	4.30757e+06	4.37807e+06	4.38531e+06	4.3816e+06	4.18026e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.27571e+06	1.86859e+06	1.92731e+06	1.77423e+06	2.13843e+06	1.955e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.11357e+07	2.17988e+07	2.33969e+07	2.33422e+07	2.34446e+07	2.36133e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.25075e+07	1.29125e+07	1.16003e+07	1.1388e+07	1.1725e+07	1.20196e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.04068e+07	3.25216e+07	3.02192e+07	3.1762e+07	3.15868e+07	3.11207e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	19	19	5.93578e+07	6.27667e+07	6.09781e+07	6.28495e+07	6.06834e+07	6.13498e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.08502e+07	2.1051e+07	2.14242e+07	1.96445e+07	1.97747e+07	2.03012e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.57474e+07	1.56491e+07	1.70547e+07	1.55973e+07	1.59131e+07	1.55552e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	5.0039e+06	5.45453e+06	6.12573e+06	4.98419e+06	5.65997e+06	5.14465e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	7.06765e+06	6.73421e+06	7.26607e+06	6.74909e+06	7.15416e+06	6.9003e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.4057e+07	2.34695e+07	2.36842e+07	2.34443e+07	2.33477e+07	2.32181e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.1029e+06	4.71116e+06	5.18608e+06	4.27689e+06	4.86803e+06	4.72487e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	2	2	1.72447e+06			1.87127e+06	1.77979e+06	2.10373e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	48	48	1.20684e+08	1.1435e+08	1.18259e+08	1.10999e+08	1.23266e+08	1.142e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.71976e+06	3.1627e+06	3.18989e+06	3.21168e+06	3.08585e+06	3.23234e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	14	14	9.74208e+06	1.09813e+07	1.10389e+07	1.10609e+07	1.0801e+07	1.16811e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	1	1		264361				153102
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	8.77521e+07	8.40278e+07	8.75631e+07	8.20996e+07	8.68079e+07	8.44843e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	13	13	7.67962e+06	7.80433e+06	8.01194e+06	7.11756e+06	7.77135e+06	7.51631e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.61679e+07	1.56997e+07	1.55794e+07	1.60939e+07	1.73182e+07	1.59486e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.18106e+06	1.35441e+06	1.38964e+06	1.2449e+06	1.49307e+06	1.20362e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	3.56476e+06	3.75338e+06	3.61765e+06	3.93322e+06		3.54255e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.11103e+07	3.27196e+07	3.03534e+07	3.33829e+07	3.1444e+07	3.30617e+07
