Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				570142	562472			99389.1	376481
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				1.14016e+06	1.10258e+06	583834	632815	710562	1.12527e+06
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.13537e+07	1.13507e+07	3.7517e+06	3.54943e+06	3.55158e+06	1.03082e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				6.20329e+06	6.03286e+06	2.01172e+06	1.99101e+06	2.09081e+06	6.10606e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.67607e+06	5.75371e+06	1.94844e+06	1.90672e+06	1.94889e+06	5.76244e+06
P02918	P02918		mrcA		3.21269e+06	3.07779e+06	3.07772e+06	3.22385e+06	3.18672e+06	3.14944e+06
P02919	P02919		mrcB		1.90576e+06	1.73619e+06	1.70811e+06	1.82847e+06	1.79251e+06	1.88049e+06
P02925	P02925		rbsB		8.80131e+06	9.14638e+06	9.19355e+06	8.92292e+06	9.02041e+06	8.54115e+06
P02930	P02930		tolC		2.09317e+07	2.0899e+07	2.20977e+07	2.14194e+07	2.17289e+07	2.09001e+07
P02931	P02931		ompF		3.6505e+07	3.70938e+07	3.60851e+07	3.74294e+07	3.69054e+07	3.89214e+07
