Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AEI4	P0AEI4		rimO		5.11957e+06	5.26232e+06	4.93267e+06	4.89178e+06	5.10262e+06	5.18528e+06
P0AEI6	P0AEI6		nudJ		3.15603e+06	3.11676e+06	3.13167e+06	3.35908e+06	3.30996e+06	3.28624e+06
P0AEJ2	P0AEJ2		entC		1.00907e+06	1.06557e+06	892992	1.04847e+06	901616	911101
P0AEK2	P0AEK2		fabG		9.49714e+07	9.47088e+07	9.49732e+07	9.08679e+07	9.04265e+07	9.24437e+07
P0AEK4	P0AEK4		fabI		6.14785e+07	6.06837e+07	6.15622e+07	5.94539e+07	5.99696e+07	5.93896e+07
P0AEL6	P0AEL6		fepB		2.28781e+06	2.39584e+06	2.31024e+06	2.6716e+06	2.60032e+06	2.78188e+06
P0AEM0	P0AEM0		fkpB		2.01655e+06	1.95523e+06	2.08632e+06	1.969e+06	1.70389e+06	1.69917e+06
P0AEM4	P0AEM4		flgM		2.07234e+06	2.01351e+06	2.12887e+06	2.13893e+06	2.23072e+06	2.23798e+06
P0AEM6	P0AEM6		fliA		2.41312e+06	2.38671e+06	2.38612e+06	2.82567e+06	2.59388e+06	2.81197e+06
P0AEM9	P0AEM9		fliY		7.55167e+06	7.41987e+06	7.50769e+06	7.67821e+06	7.48511e+06	7.80668e+06
P0AEN1	P0AEN1		fre		9.56068e+06	9.68688e+06	1.00047e+07	9.76196e+06	9.72889e+06	9.70029e+06
P0AEN4	P0AEN4		ftsL		2.50011e+06	2.58639e+06	2.7711e+06	2.56831e+06	2.3898e+06	2.4994e+06
P0AEN8	P0AEN8		fucU		5.94208e+06	5.66698e+06	5.56802e+06	5.21709e+06	5.17862e+06	5.15655e+06
P0AEP3	P0AEP3		galU		6.67424e+07	6.41415e+07	6.3733e+07	6.22142e+07	6.54537e+07	6.34942e+07
P0AEQ3	P0AEQ3		glnH		1.25306e+07	1.25877e+07	1.24354e+07	1.26753e+07	1.26834e+07	1.26665e+07
P0AEQ6	P0AEQ6		glnP		2.86007e+06	2.70154e+06	2.88379e+06	2.5444e+06	2.61288e+06	2.49392e+06
P0AES0	P0AES0		gsp		2.50491e+06	2.40751e+06	2.48894e+06	2.61368e+06	2.6357e+06	2.53897e+06
P0AES2	P0AES2		gudD		1.67499e+06	1.77484e+06	1.69478e+06	1.77391e+06	1.78653e+06	1.81609e+06
P0AES4	P0AES4		gyrA		1.47826e+07	1.50222e+07	1.49765e+07	1.46942e+07	1.47775e+07	1.43773e+07
P0AES6	P0AES6		gyrB		8.97462e+06	9.00496e+06	9.04995e+06	8.91728e+06	8.80766e+06	8.8631e+06
P0AET2	P0AET2		hdeB		1.3854e+07	1.37276e+07	1.3908e+07	1.34106e+07	1.3465e+07	1.3624e+07
P0AET8	P0AET8		hdhA		3.65061e+06	3.10179e+06	3.21271e+06	3.79486e+06	3.33906e+06	3.77824e+06
P0AEU0	P0AEU0		hisJ		3.63265e+06	3.58999e+06	3.61294e+06	3.70688e+06	3.47287e+06	3.76944e+06
P0AEU7	P0AEU7		skp		2.50948e+07	2.48618e+07	2.43286e+07	2.45358e+07	2.48276e+07	2.48499e+07
P0AEV4	P0AEV4		hycA		819770	855473	750240	920689	879730	912647
P0AEV9	P0AEV9		hycI		361998	356493	451098	418779	340580	370091
P0AEW6	P0AEW6		gsk		2.24961e+06	2.3477e+06	2.30324e+06	2.33666e+06	2.19113e+06	2.34325e+06
P0AEW9	P0AEW9		fruK		1.73079e+07	1.74461e+07	1.72078e+07	1.67454e+07	1.71185e+07	1.71517e+07
P0AEX5	P0AEX5		prkB		2.08958e+06	2.0941e+06	2.02233e+06	2.04637e+06	1.99541e+06	2.1354e+06
P0AEX9	P0AEX9		malE		7.17808e+06	7.37728e+06	7.28199e+06	6.93688e+06	6.75316e+06	6.93135e+06
P0AEY3	P0AEY3		mazG		2.06106e+06	2.1564e+06	2.11664e+06	2.20626e+06	2.22715e+06	2.23487e+06
P0AEY5	P0AEY5		mdaB		1.64213e+06	2.05749e+06	1.7467e+06	2.01375e+06	1.87936e+06	1.84515e+06
P0AEZ3	P0AEZ3		minD		1.096e+07	1.07673e+07	1.06859e+07	1.06384e+07	1.08703e+07	1.09125e+07
