Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				8.52258e+06	9.27367e+06	9.32041e+06	8.83116e+06	8.37066e+06	9.32681e+06
P06610	P06610		btuE		7.17791e+06	8.08062e+06	7.9366e+06	7.23654e+06	7.35708e+06	7.65673e+06
P06612	P06612		topA		5.45474e+06	5.35446e+06	5.14461e+06	5.49943e+06	5.49541e+06	5.11646e+06
P06616	P06616		era		3.58092e+06	3.23297e+06	3.32821e+06	3.51308e+06	3.48853e+06	3.24816e+06
P06709	P06709		birA		885702	928194	857308	983413	1.07405e+06	845926
P06710	P06710		dnaX		1.03323e+06	1.00054e+06	795102	1.09274e+06	1.12139e+06	858512
P06715	P06715		gor		4.37886e+06	4.60425e+06	4.42912e+06	4.40851e+06	4.47452e+06	4.52986e+06
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)					7.60404e+06	7.65009e+06		951977	7.55031e+06
P06846	P06846		ebgR		1.74144e+06	1.63612e+06	1.86269e+06	1.60001e+06	1.66431e+06	1.86344e+06
P06959	P06959		aceF		3.94232e+07	3.8299e+07	3.91281e+07	3.86599e+07	3.84438e+07	3.80691e+07
P06961	P06961		cca		1.01998e+06	920046	928437	1.06873e+06	1.04033e+06	972867
P06968	P06968		dut		7.64537e+06	7.13218e+06	7.03902e+06	7.86724e+06	7.47852e+06	7.28617e+06
P06971	P06971		fhuA		1.3255e+07	1.32835e+07	1.26499e+07	1.32237e+07	1.31919e+07	1.2804e+07
P06974	P06974		fliM		1.76819e+06	1.69346e+06	1.75389e+06	1.80335e+06	1.85103e+06	1.71026e+06
P06983	P06983		hemC		1.17829e+07	1.15972e+07	1.17826e+07	1.22524e+07	1.18171e+07	1.09118e+07
P06986	P06986		hisC		3.11035e+06	2.98208e+06	2.98538e+06	2.9527e+06	2.80785e+06	2.83303e+06
P06987	P06987		hisB		1.10284e+06	1.1595e+06	1.07321e+06	1.16311e+06	1.02178e+06	996157
P06988	P06988		hisD		3.69258e+06	3.02094e+06	3.30488e+06	3.88633e+06	3.87123e+06	3.12967e+06
P06992	P06992		rsmA		1.98951e+06	2.01573e+06	2.06591e+06	2.08191e+06	2.05017e+06	2.2051e+06
P06996	P06996		ompC		2.95074e+08	2.64292e+08	2.61998e+08	2.94861e+08	2.78516e+08	2.68319e+08
P06999	P06999		pfkB		1.083e+06	1.14095e+06	1.03637e+06	1.12931e+06	1.07104e+06	1.08279e+06
P07000	P07000		pldB		509165	588653	590581	528396	534826	491499
P07001	P07001		pntA		4.43079e+06	4.63286e+06	4.35672e+06	4.33158e+06	4.36237e+06	4.59884e+06
P07003	P07003		poxB		2.06905e+06	1.98322e+06	1.98958e+06	2.05544e+06	2.02881e+06	2.00989e+06
P07004	P07004		proA		4.615e+06	4.31865e+06	4.21837e+06	4.55162e+06	4.5574e+06	4.16376e+06
P07012	P07012		prfB		8.05406e+06	7.67819e+06	7.89819e+06	8.54336e+06	8.15223e+06	7.92386e+06
P07014	P07014		sdhB		1.70933e+06	1.57601e+06	1.63106e+06	1.73298e+06	1.63052e+06	1.64269e+06
P07017	P07017		tar		3.25987e+06	3.27014e+06	3.26202e+06	3.24984e+06	3.12732e+06	3.37942e+06
P07021	P07021		yfiB		829937	961919	919404	774035	823128	999050
P07023	P07023		tyrA		2.56208e+06	2.54704e+06	2.37393e+06	2.55822e+06	2.51613e+06	2.49771e+06
P07024	P07024		ushA		4.73648e+06	4.48848e+06	4.7627e+06	4.65719e+06	4.64584e+06	4.76508e+06
P07026	P07026		sdiA		1.69953e+06	1.67629e+06	1.81117e+06	1.5854e+06	1.61298e+06	1.79548e+06
P07118	P07118		valS		1.91682e+07	2.0431e+07	2.03471e+07	1.96991e+07	1.96023e+07	2.00322e+07
P07330	P07330		cheB		1.11414e+06	951916	879335	1.13907e+06	1.14899e+06	1.03175e+06
P07363	P07363		cheA		1.47996e+06	1.35956e+06	1.42294e+06	1.53455e+06	1.56437e+06	1.38137e+06
P07395	P07395		pheT		1.82797e+07	1.78701e+07	1.81628e+07	1.83918e+07	1.81428e+07	1.81601e+07
P07604	P07604		tyrR		2.61613e+06	2.56348e+06	2.49604e+06	2.41626e+06	2.6686e+06	2.48622e+06
P07639	P07639		aroB		4.44884e+06	4.38641e+06	4.38834e+06	4.65106e+06	4.27938e+06	4.08892e+06
P07649	P07649		truA		1.83507e+06	1.76979e+06	1.81425e+06	1.95321e+06	1.82465e+06	1.86513e+06
P07650	P07650		deoA		6.08519e+06	6.32811e+06	5.94714e+06	6.0969e+06	5.92404e+06	5.93815e+06
P07658	P07658		fdhF		2.96156e+06	3.03613e+06	3.20789e+06	3.18076e+06	2.91835e+06	3.12049e+06
P07762	P07762		glgB		3.52416e+06	3.56169e+06	3.5958e+06	3.37952e+06	3.51147e+06	3.46133e+06
P07813	P07813		leuS		1.42656e+07	1.45778e+07	1.50734e+07	1.42189e+07	1.45204e+07	1.43262e+07
P07862	P07862		ddlB		5.61336e+06	5.58763e+06	5.64174e+06	5.63986e+06	5.83398e+06	5.4922e+06
P07913	P07913		tdh		4.22859e+06	4.30573e+06	4.26422e+06	4.26358e+06	3.96333e+06	4.38904e+06
P08178	P08178		purM		1.64989e+06	1.8108e+06	1.80939e+06	1.74334e+06	1.61488e+06	1.76828e+06
P08179	P08179		purN		2.02861e+06	1.98157e+06	1.83995e+06	1.96281e+06	1.88482e+06	2.0614e+06
P08190	P08190		fimG		2.1336e+06	2.21647e+06	2.02959e+06	2.31195e+06	2.30991e+06	2.22623e+06
P08191	P08191		fimH		3.177e+06	2.55607e+06	2.72064e+06	2.92716e+06	2.84456e+06	2.58547e+06
P08192	P08192		folC		3.0221e+06	3.01761e+06	3.0571e+06	3.107e+06	2.975e+06	3.01251e+06
P08200	P08200		icd		2.17126e+07	2.26972e+07	2.25467e+07	2.20278e+07	2.26928e+07	2.23552e+07
P08201	P08201		nirB		5.05748e+06	4.92139e+06	4.85874e+06	5.14138e+06	5.06344e+06	5.04612e+06
P08244	P08244		pyrF		7.3668e+06	7.47995e+06	7.15757e+06	7.03209e+06	7.12654e+06	7.7009e+06
P08245	P08245		yciH		604090	570100	589371	670792	560513	573870
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)				2.38648e+06	1.8332e+07	1.8254e+07			1.77964e+07
P08312	P08312		pheS		1.33112e+07	1.29377e+07	1.27234e+07	1.30776e+07	1.30921e+07	1.2948e+07
P08331	P08331		cpdB		3.07947e+06	3.07375e+06	3.0764e+06	3.06352e+06	3.06743e+06	3.11657e+06
P08337	P08337		mutT		1.39722e+06	1.12282e+06	1.16712e+06	1.37898e+06	1.46529e+06	1.14025e+06
P08373	P08373		murB		1.6747e+06	1.69532e+06	1.75475e+06	1.67223e+06	1.72111e+06	1.65775e+06
P08390	P08390		usg		5.97222e+07	5.91903e+07	5.73002e+07	5.79839e+07	6.00718e+07	5.7964e+07
P08395	P08395		sppA		2.1671e+06	2.03319e+06	2.22373e+06	2.17646e+06	2.14664e+06	2.08621e+06
P08506	P08506		dacC		5.74505e+06	5.43369e+06	5.29787e+06	5.80035e+06	5.78115e+06	5.48817e+06
P08622	P08622		dnaJ		5.93113e+06	5.38198e+06	5.35488e+06	5.88338e+06	5.97896e+06	5.47066e+06
P08660	P08660		lysC		2.33596e+06	2.34418e+06	2.36517e+06	2.27414e+06	2.37702e+06	2.32075e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)					1.91962e+07	1.92276e+07			1.91933e+07
P08839	P08839		ptsI		3.11063e+07	3.14338e+07	3.10778e+07	3.16187e+07	3.09581e+07	3.07386e+07
P08956	P08956		hsdR		1.50866e+06	1.53263e+06	1.56077e+06	1.44469e+06	1.43543e+06	1.59846e+06
P08957	P08957		hsdM		9.82923e+06	9.86426e+06	9.6757e+06	9.75279e+06	9.97353e+06	9.77192e+06
P09029	P09029		purK		1.17453e+06	1.14998e+06	1.12956e+06	1.09892e+06	1.07878e+06	1.1583e+06
P09030	P09030		xthA		3.4657e+06	3.29525e+06	3.05999e+06	3.43663e+06	3.47535e+06	3.29196e+06
