Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A7T3	P0A7T3		rpsP		1.52851e+08	1.52548e+08	1.41277e+08	1.41327e+08	1.4923e+08	1.35257e+08
P0A7T7	P0A7T7		rpsR		6.04433e+07	6.11584e+07	5.81805e+07	6.01904e+07	6.28002e+07	6.08513e+07
P0A7U3	P0A7U3		rpsS		8.33472e+07	8.34661e+07	8.29351e+07	8.08956e+07	8.70928e+07	8.07793e+07
P0A7U7	P0A7U7		rpsT		3.34004e+07	3.32259e+07	3.1533e+07	3.08357e+07	3.34766e+07	3.22044e+07
P0A7V0	P0A7V0		rpsB		1.46998e+08	1.46544e+08	1.40608e+08	1.40964e+08	1.46483e+08	1.37281e+08
P0A7V3	P0A7V3		rpsC		9.70859e+07	9.45077e+07	9.18862e+07	9.37372e+07	9.29691e+07	9.06401e+07
P0A7V8	P0A7V8		rpsD		1.99369e+08	1.97895e+08	1.97405e+08	1.98445e+08	1.90412e+08	2.01759e+08
P0A7W1	P0A7W1		rpsE		1.39374e+08	1.41105e+08	1.28397e+08	1.28113e+08	1.40705e+08	1.27944e+08
P0A7W7	P0A7W7		rpsH		6.03328e+07	5.89702e+07	6.06096e+07	5.89923e+07	5.88843e+07	5.78782e+07
P0A7X3	P0A7X3		rpsI		9.39336e+07	9.20884e+07	8.10362e+07	8.28625e+07	9.48808e+07	8.13947e+07
P0A7X6	P0A7X6		rimM		6.39105e+06	6.25273e+06	6.05496e+06	6.34876e+06	6.5084e+06	6.13345e+06
P0A7Y0	P0A7Y0		rnc		9.85723e+06	9.72289e+06	9.55464e+06	9.70709e+06	1.01538e+07	9.45122e+06
P0A7Y8	P0A7Y8		rnpA		998624	1.05112e+06	1.10417e+06	975421	1.00197e+06	917482
P0A7Z0	P0A7Z0		rpiA		1.98376e+07	1.99893e+07	2.10234e+07	1.98761e+07	2.04111e+07	1.97702e+07
