Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P76537	P76537		yfeY		2.77932e+06	2.46571e+06	2.95445e+06	2.77696e+06	2.56019e+06	2.52229e+06
P76539	P76539		ypeA		2.05596e+06	1.69022e+06	2.00657e+06	2.03324e+06	1.70979e+06	1.6571e+06
P76558	P76558		maeB		2.58298e+06	2.50561e+06	2.54186e+06	2.63411e+06	2.56035e+06	2.5214e+06
P76576	P76576		yfgM		9.57656e+06	8.63723e+06	9.09134e+06	9.39211e+06	9.21599e+06	8.94476e+06
P76578	P76578		yfhM		1.02284e+06	1.12982e+06	1.04941e+06	1.0555e+06	1.14336e+06	1.09877e+06
P76594	P76594		yfiQ		9.11473e+06	7.82462e+06	9.61544e+06	9.09501e+06	7.8602e+06	7.80147e+06
P76658	P76658		hldE		8.99052e+06	8.97084e+06	9.05579e+06	9.01821e+06	9.01817e+06	8.77534e+06
P76938	P76938		epmC		1.63171e+06	1.5434e+06	1.64295e+06	1.53438e+06	1.58339e+06	1.61984e+06
P77150	P77150		pdxY		3.21018e+06	3.70333e+06	3.69084e+06	3.52167e+06	3.62577e+06	3.61489e+06
P77173	P77173		zipA		2.33941e+06	2.27729e+06	2.3672e+06	2.41296e+06	2.32752e+06	2.27285e+06
P77202	P77202		dsbG		261181	333637	314583	255077	230401	264309
P77247	P77247		yniC		1.718e+06	1.66298e+06	1.82933e+06	1.87678e+06	1.67886e+06	1.80395e+06
P77252	P77252		ykgE		976185	971783	932107	943021	1.00131e+06	934045
P77258	P77258		nemA		4.1759e+06	4.65043e+06	4.32735e+06	4.27177e+06	4.79079e+06	4.72329e+06
P77279	P77279		ybbL		2.2122e+06	2.07093e+06	2.18577e+06	2.39935e+06	2.07507e+06	2.22196e+06
P77285	P77285		rnfG		2.10491e+06	2.08329e+06	1.95556e+06	1.926e+06	2.06944e+06	2.21179e+06
P77330	P77330		borD		2.90643e+07	1.82655e+07	2.8687e+07	2.92248e+07	2.04094e+07	1.99899e+07
P77338	P77338		kefA		1.33771e+06	1.41797e+06	1.50954e+06	1.51427e+06	1.21458e+06	1.30463e+06
P77348	P77348		mppA		1.99168e+06	1.91875e+06	1.99312e+06	1.97096e+06	1.89473e+06	1.85197e+06
P77376	P77376		ydgJ		2.27456e+06	2.28958e+06	2.23132e+06	2.20859e+06	2.26498e+06	1.99431e+06
P77395	P77395		ybbN		2.55006e+06	2.67862e+06	2.67719e+06	2.604e+06	2.64479e+06	2.54153e+06
P77398	P77398		arnA		315388	571444	378021	405086	551873	492281
P77433	P77433		ykgG		1.23103e+06	1.33566e+06	1.3374e+06	1.31669e+06	1.29745e+06	1.23604e+06
P77434	P77434		alaC		2.01477e+06	1.98035e+06	2.00204e+06	2.02802e+06	1.95561e+06	1.98547e+06
P77454	P77454		glsA1		1.27043e+06	1.2488e+06	1.27597e+06	1.27522e+06	1.23213e+06	1.31123e+06
P77475	P77475		yqaB		2.65642e+06	2.27682e+06	2.37532e+06	2.74343e+06	2.14485e+06	2.40275e+06
P77488	P77488		dxs		2.85053e+06	2.83245e+06	2.74333e+06	3.02042e+06	2.83099e+06	2.7552e+06
P77499	P77499		sufC		1.38922e+06	1.43347e+06	1.39444e+06	1.40348e+06	1.40852e+06	1.28814e+06
P77529	P77529		ydjN		4.58383e+06	5.16089e+06	4.59195e+06	4.28318e+06	5.2221e+06	5.01923e+06
P77536	P77536		ykgF		1.20935e+06	1.35549e+06	1.20363e+06	1.20859e+06	1.2716e+06	1.42584e+06
P77552	P77552		ydhQ		2.60179e+06	2.72299e+06	2.78363e+06	2.76646e+06	2.74151e+06	2.55797e+06
P77562	P77562		yaiW		1.26382e+06	1.25308e+06	1.18276e+06	1.24541e+06	1.1894e+06	1.26764e+06
P77570	P77570		anmK		1.35019e+06	1.33183e+06	1.34543e+06	1.26432e+06	1.24279e+06	1.27383e+06
P77611	P77611		rnfC		897371	809790	789092	1.01939e+06	851031	762648
P77625	P77625		yfbT		8.03437e+06	7.75211e+06	8.02881e+06	7.87802e+06	7.96204e+06	7.83627e+06
P77690	P77690		arnB		475312	716465	482407	424027	751917	678062
P77717	P77717		ybaY		1.2757e+06	1.49718e+06	1.29162e+06	1.28234e+06	1.48598e+06	1.49931e+06
P77718	P77718		thiI		2.42845e+06	2.47766e+06	2.44836e+06	2.35643e+06	2.35541e+06	2.25079e+06
P77735	P77735		yajO		3.54641e+06	3.76527e+06	3.43109e+06	3.30101e+06	3.71277e+06	3.36487e+06
P77737	P77737		oppF		1.66932e+06	2.02985e+06	1.60081e+06	1.73319e+06	1.64111e+06	1.91995e+06
P77739	P77739		yniA		1.09853e+06	847760	1.01836e+06	1.10046e+06	794204	880198
P77748	P77748		ydiJ		1.07552e+06	878202	1.03394e+06	1.07307e+06	892110	858586
P77756	P77756		queC		1.50336e+06	1.46196e+06	1.40276e+06	1.40821e+06	1.4089e+06	1.567e+06
P77774	P77774		bamB		1.40203e+07	1.42636e+07	1.39544e+07	1.38421e+07	1.41892e+07	1.3984e+07
P77791	P77791		maa		471785	316169	327380	434991	338214	251197
P77804	P77804		ydgA		8.6628e+06	7.9128e+06	8.48312e+06	8.48722e+06	7.83025e+06	8.19444e+06
P77808	P77808		yfaY		2.09055e+06	2.14475e+06	2.05021e+06	2.13219e+06	2.15274e+06	2.19534e+06
P78067	P78067		ynjE		2.73089e+06	2.80433e+06	2.57075e+06	2.75661e+06	2.58614e+06	2.54014e+06
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)				441666	5.61621e+06	422544	447084	5.88368e+06	5.63581e+06
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				823913	1.14954e+07	870531	849357	1.19796e+07	1.19949e+07
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				1.22649e+06	1.54238e+07	1.09794e+06	1.23938e+06	1.62307e+07	1.66634e+07
Q2M7R5	Q2M7R5		yibT		2.30579e+06	2.40144e+06	2.16387e+06	2.29461e+06	2.1299e+06	2.5506e+06
Q46829	Q46829		bglA		1.15359e+07	1.17344e+07	1.09854e+07	1.11627e+07	1.15275e+07	1.13994e+07
Q46835	Q46835		yghG		958664	876975	1.06123e+06	1.10736e+06	930184	1.12921e+06
Q46845	Q46845		yghU		373548	433154	407175	367727	439570	403567
Q46851	Q46851		gpr		755347	845647	894958	753378	842941	888511
Q46856	Q46856		yqhD		4.33362e+06	4.25667e+06	4.28411e+06	4.16779e+06	4.22329e+06	4.2778e+06
Q46857	Q46857		dkgA		3.20376e+06	3.2185e+06	3.11523e+06	3.03557e+06	3.17596e+06	2.99369e+06
Q46868	Q46868		yqiC		9.24504e+06	8.86887e+06	9.17507e+06	9.44696e+06	8.64974e+06	8.55222e+06
Q46871	Q46871		yqjH		3.24059e+06	3.4962e+06	3.25907e+06	3.43296e+06	3.43658e+06	3.33101e+06
Q46893	Q46893		ispD		3.22019e+06	2.90912e+06	3.19652e+06	3.24986e+06	3.03316e+06	2.71106e+06
Q46919	Q46919		yqcC		398449	656578	525794	445177	607773	623815
Q46920	Q46920		queF		4.57891e+06	4.26872e+06	4.48643e+06	4.57769e+06	4.28006e+06	4.11535e+06
Q46925	Q46925		csdA		891672	967335	957962	901706	926984	868104
Q46927	Q46927		ygdL		465774	452999	459664	548940	402369	475954
Q46948	Q46948		yajL		4.12231e+06	4.45522e+06	4.15159e+06	4.18557e+06	4.24758e+06	4.28957e+06
Q47147	Q47147		yafJ		1.10486e+06	915788	1.06839e+06	1.14961e+06	1.09061e+06	1.04431e+06
Q47622	Q47622		sapA		2.10549e+06	2.30265e+06	2.08564e+06	2.19294e+06	2.33001e+06	2.25325e+06
Q47679	Q47679		yafV		829121	787019	871055	951355	773386	748416
Q57154	Q57154		repB		722940	629410	541480	657809	604657	575975
Q57261	Q57261		truD		4.00705e+06	4.08017e+06	4.10548e+06	4.01575e+06	4.04931e+06	4.02671e+06
Q59385	Q59385		copA		2.27112e+06	1.89084e+06	2.15313e+06	2.15474e+06	1.97668e+06	1.97216e+06
Q93K97	Q93K97		nudF		1.9904e+07	2.05742e+07	2.12842e+07	2.04452e+07	1.98789e+07	2.15447e+07
