Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A717	P0A717		prs		3.27516e+07	3.24114e+07	3.27542e+07	3.25599e+07	3.22756e+07	3.24337e+07
P0A720	P0A720		tmk		2.6624e+06	2.53291e+06	2.602e+06	2.72422e+06	2.51511e+06	2.72358e+06
P0A722	P0A722		lpxA		1.2355e+07	1.18809e+07	1.23066e+07	1.13151e+07	1.24434e+07	1.17765e+07
P0A725	P0A725		lpxC		875581	533453	556397	777482	876668	566135
P0A729	P0A729		yceF		2.16303e+06	2.29715e+06	2.26452e+06	2.32073e+06	2.01999e+06	2.16205e+06
P0A731	P0A731		mgsA		3.77062e+06	3.5111e+06	3.87914e+06	3.42886e+06	3.59075e+06	3.52351e+06
P0A734	P0A734		minE		3.51071e+07	3.15616e+07	3.49751e+07	3.38868e+07	3.73024e+07	3.21785e+07
P0A738	P0A738		moaC		1.90213e+06	2.08077e+06	1.7418e+06	2.16165e+06	1.79886e+06	1.94853e+06
P0A744	P0A744		msrA		6.50785e+06	6.65816e+06	6.68142e+06	6.95645e+06	6.70661e+06	6.66384e+06
P0A746	P0A746		msrB		1.29549e+06	1.16412e+06	1.34265e+06	1.27196e+06	1.41639e+06	1.08248e+06
P0A749	P0A749		murA		8.08982e+06	7.55633e+06	8.2021e+06	8.03791e+06	8.20928e+06	7.99499e+06
P0A752	P0A752		nadD		364029	509490	338857	452036	559913	486140
P0A759	P0A759		nagB		4.18979e+06	4.3708e+06	4.43762e+06	4.71398e+06	4.52712e+06	4.52447e+06
P0A763	P0A763		ndk		1.35147e+07	1.22661e+07	1.40746e+07	1.27065e+07	1.38776e+07	1.26933e+07
P0A780	P0A780		nusB		1.18774e+07	1.3038e+07	1.12019e+07	1.32736e+07	1.08101e+07	1.29701e+07
P0A784	P0A784		orn		2.53691e+06	2.45835e+06	2.66382e+06	2.58794e+06	2.49936e+06	2.56212e+06
P0A786	P0A786		pyrB		2.55574e+06	2.67622e+06	2.57246e+06	2.56158e+06	2.46698e+06	2.54085e+06
P0A790	P0A790		panD		7.90667e+06	6.42224e+06	7.84214e+06	7.6527e+06	7.7179e+06	7.18397e+06
P0A794	P0A794		pdxJ		7.25898e+06	6.54467e+06	7.08887e+06	6.85406e+06	7.44146e+06	6.68182e+06
P0A796	P0A796		pfkA		2.22421e+07	2.28426e+07	2.2523e+07	2.3129e+07	2.21625e+07	2.238e+07
P0A799	P0A799		pgk		4.40298e+08	4.14127e+08	4.42554e+08	4.17911e+08	4.29464e+08	4.1375e+08
P0A7A2	P0A7A2		gpmB		5.69308e+06	4.5862e+06	5.21045e+06	5.35485e+06	5.39663e+06	5.12012e+06
P0A7A5	P0A7A5		pcm		1.20791e+06	1.07799e+06	1.25985e+06	1.06187e+06	1.174e+06	1.18213e+06
P0A7A7	P0A7A7		plsB		3.08385e+06	3.20118e+06	3.02293e+06	3.3287e+06	3.10248e+06	3.21527e+06
P0A7A9	P0A7A9		ppa		7.83708e+07	8.05124e+07	8.31509e+07	8.09026e+07	8.39713e+07	7.73013e+07
P0A7B1	P0A7B1		ppk		1.60626e+06	1.4093e+06	1.55166e+06	1.44555e+06	1.38035e+06	1.57312e+06
P0A7B5	P0A7B5		proB		4.5687e+06	4.84612e+06	4.56998e+06	4.64023e+06	4.52121e+06	4.86847e+06
P0A7B8	P0A7B8		hslV		1.10628e+07	1.52517e+07	1.58958e+07	1.40259e+07	1.37827e+07	1.54797e+07
P0A7C2	P0A7C2		lexA		4.54244e+06	4.68343e+06	4.645e+06	4.65811e+06	4.33565e+06	4.77393e+06
P0A7C6	P0A7C6		pepE		5.66606e+06	5.91149e+06	5.77913e+06	5.75674e+06	5.37024e+06	5.98945e+06
P0A7D1	P0A7D1		pth		7.83617e+06	7.16422e+06	7.90898e+06	7.32905e+06	7.69779e+06	7.25817e+06
P0A7D4	P0A7D4		purA		2.0776e+07	2.04363e+07	2.08801e+07	2.12775e+07	2.07582e+07	2.13805e+07
P0A7D7	P0A7D7		purC		6.98304e+06	7.28636e+06	6.97619e+06	7.25399e+06	6.68045e+06	7.30045e+06
P0A7E1	P0A7E1		pyrD		6.99532e+06	6.91643e+06	7.04496e+06	7.16508e+06	6.86269e+06	7.05978e+06
P0A7E3	P0A7E3		pyrE		4.58431e+06	4.69821e+06	4.39951e+06	4.73307e+06	4.438e+06	4.50512e+06
P0A7E5	P0A7E5		pyrG		1.81877e+07	1.80128e+07	1.80847e+07	1.77065e+07	1.81149e+07	1.8114e+07
P0A7E9	P0A7E9		pyrH		7.63053e+06	7.70151e+06	7.55908e+06	7.42305e+06	7.26194e+06	8.06746e+06
P0A7F3	P0A7F3		pyrI		2.3895e+06	2.4139e+06	2.40653e+06	2.4063e+06	2.44643e+06	2.54143e+06
P0A7F6	P0A7F6		speD		1.91883e+06	1.67884e+06	1.83237e+06	1.65989e+06	1.77038e+06	1.74514e+06
P0A7F9	P0A7F9		queA		3.79542e+06	3.95876e+06	4.31925e+06	4.24576e+06	3.88157e+06	4.46942e+06
P0A7G2	P0A7G2		rbfA		2.61871e+07	2.41655e+07	2.54048e+07	2.42623e+07	2.66403e+07	2.4236e+07
P0A7G6	P0A7G6		recA		1.11668e+07	1.06437e+07	1.11734e+07	1.15299e+07	1.1525e+07	1.10248e+07
P0A7H6	P0A7H6		recR		742141	707425	756622	754071	699802	856142
P0A7I0	P0A7I0		prfA		4.18109e+06	4.08924e+06	4.03773e+06	4.3075e+06	4.2421e+06	4.26147e+06
P0A7I4	P0A7I4		prfC		5.19027e+06	5.19272e+06	5.28003e+06	5.19177e+06	5.53208e+06	5.16644e+06
P0A7I7	P0A7I7		ribA		8.90378e+06	8.11872e+06	8.77242e+06	8.68439e+06	8.16022e+06	8.53434e+06
P0A7J0	P0A7J0		ribB		1.50757e+07	1.48892e+07	1.47084e+07	1.49416e+07	1.4014e+07	1.43759e+07
P0A7J3	P0A7J3		rplJ		5.15272e+08	5.44623e+08	5.02207e+08	5.28575e+08	5.0199e+08	5.21327e+08
P0A7J7	P0A7J7		rplK		1.545e+08	1.5012e+08	1.51774e+08	1.46377e+08	1.48788e+08	1.52564e+08
P0A7K2	P0A7K2		rplL		1.78533e+08	1.95521e+08	1.72448e+08	1.97673e+08	1.67887e+08	1.99794e+08
P0A7K6	P0A7K6		rplS		6.63635e+07	5.89228e+07	6.59411e+07	6.17391e+07	6.79969e+07	6.02918e+07
P0A7L0	P0A7L0		rplA		3.09188e+08	3.13213e+08	3.14659e+08	3.1671e+08	3.16591e+08	3.24913e+08
P0A7L3	P0A7L3		rplT		3.67474e+07	4.45626e+07	3.69419e+07	4.36541e+07	3.61364e+07	4.4364e+07
P0A7L8	P0A7L8		rpmA		1.17464e+08	1.1752e+08	1.28785e+08	1.16168e+08	1.23544e+08	1.20718e+08
P0A7M2	P0A7M2		rpmB		7.3339e+07	7.88852e+07	7.33064e+07	7.66374e+07	7.44982e+07	7.83885e+07
P0A7M6	P0A7M6		rpmC		2.07879e+07	2.74773e+07	1.97532e+07	2.76877e+07	1.82561e+07	2.819e+07
P0A7M9	P0A7M9		rpmE		4.86687e+07	4.46583e+07	4.78682e+07	4.58791e+07	5.0426e+07	4.5598e+07
P0A7N4	P0A7N4		rpmF		4.05364e+07	3.99014e+07	4.0922e+07	3.88959e+07	4.18587e+07	4.08928e+07
P0A7N9	P0A7N9		rpmG		1.23502e+08	1.09005e+08	1.22165e+08	9.67417e+07	1.22412e+08	1.0689e+08
P0A7P5	P0A7P5		rpmH		2.75028e+07	2.44458e+07	2.71905e+07	2.61442e+07	2.70159e+07	2.49159e+07
P0A7Q1	P0A7Q1		rpmI		1.78818e+07	1.07164e+07	2.04167e+07	1.16126e+07	1.86e+07	1.34596e+07
P0A7R1	P0A7R1		rplI		3.25217e+08	2.88954e+08	3.3135e+08	2.8669e+08	3.09896e+08	2.93145e+08
P0A7R5	P0A7R5		rpsJ		1.96214e+08	1.61638e+08	1.99228e+08	1.60836e+08	1.95253e+08	1.63346e+08
P0A7R9	P0A7R9		rpsK		9.20098e+07	8.70129e+07	9.1999e+07	8.80162e+07	9.3151e+07	8.74747e+07
P0A7S3	P0A7S3		rpsL		7.93213e+07	7.48636e+07	7.65768e+07	6.84123e+07	7.94201e+07	7.2776e+07
P0A7S9	P0A7S9		rpsM		3.05988e+07	3.51582e+07	3.17133e+07	3.50057e+07	3.04058e+07	3.48509e+07
P0A7T3	P0A7T3		rpsP		4.80226e+07	4.2791e+07	4.83611e+07	4.48007e+07	4.6897e+07	4.17906e+07
P0A7T7	P0A7T7		rpsR		5.51558e+07	5.57346e+07	5.7983e+07	5.73408e+07	5.92903e+07	5.89809e+07
P0A7U3	P0A7U3		rpsS		8.73127e+07	8.30436e+07	8.26566e+07	8.08106e+07	8.3322e+07	7.78838e+07
