Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P32132	P32132		typA		3.68143e+07	3.66539e+07	3.58001e+07	3.54557e+07	3.53012e+07	3.59139e+07
P32144	P32144		yihW		4.00527e+06	4.39511e+06	4.62977e+06	3.60469e+06	4.31438e+06	4.81766e+06
P32157	P32157		yiiM		3.58456e+06	3.76508e+06	3.83526e+06	3.6693e+06	3.93197e+06	3.90918e+06
P32160	P32160		yiiQ		1.15097e+06	1.21688e+06	1.35883e+06	1.32524e+06	1.31093e+06	1.31208e+06
P32162	P32162		yiiS		1.96646e+06	1.7899e+06	1.61681e+06	1.84225e+06	1.8698e+06	1.8905e+06
P32173	P32173		mobA		736413	697861	677610	724939	774389	709082
P32176	P32176		fdoG		6.63757e+06	6.6765e+06	6.62929e+06	6.65093e+06	6.50941e+06	6.57623e+06
P32662	P32662		gph		1.57374e+06	1.53994e+06	1.23759e+06	1.55921e+06	1.32852e+06	1.13935e+06
P32664	P32664		nudC		1.15135e+06	1.3628e+06	1.14054e+06	1.16844e+06	1.18112e+06	1.24134e+06
P32675	P32675		pflC		623989	431710		631425		
P32680	P32680		yjaG		1.78513e+06	1.77369e+06	1.86206e+06	1.77997e+06	1.81527e+06	1.86345e+06
P32684	P32684		rluF		2.10277e+06	2.16766e+06	1.99217e+06	2.18702e+06	2.09623e+06	1.84791e+06
P32685	P32685		yjbD		678360	911984	794333	901463	952608	948995
P32695	P32695		dusA		1.47572e+06	1.45778e+06	1.51974e+06	1.45043e+06	1.52721e+06	1.55254e+06
P32703	P32703		yjcE		1.26238e+06	1.37412e+06	1.10239e+06	1.47681e+06	1.02552e+06	643602
P33011	P33011		yeeA		2.01766e+06	1.90614e+06	2.03548e+06	2.00614e+06	1.96964e+06	1.89429e+06
P33025	P33025		psuG		2.00703e+06	2.02855e+06	2.22636e+06	2.02353e+06	2.01287e+06	2.09826e+06
P33030	P33030		yeiR		1.6316e+06	1.60404e+06	1.54709e+06	1.59427e+06	1.56324e+06	1.60779e+06
P33136	P33136		mdoG		1.34644e+07	1.36745e+07	1.35458e+07	1.30053e+07	1.32151e+07	1.31496e+07
P33195	P33195		gcvP		5.80254e+06	5.83475e+06	5.70443e+06	5.82811e+06	5.57818e+06	5.51776e+06
P33218	P33218		yebE		3.65513e+06	3.66601e+06	3.6e+06	3.49359e+06	3.49645e+06	3.87184e+06
P33219	P33219		yebF		398267	403785	436611	389934	389333	405515
P33221	P33221		purT		1.21803e+06	1.19594e+06	927216	1.30375e+06	1.0738e+06	1.1938e+06
P33225	P33225		torA		2.48373e+06	2.27763e+06	2.35564e+06	2.49454e+06	2.38209e+06	2.35318e+06
P33232	P33232		lldD		1.42228e+06	1.08694e+06	953929	1.30048e+06	1.02599e+06	836659
P33235	P33235		flgK		1.14212e+07	1.17338e+07	1.14843e+07	1.18952e+07	1.13005e+07	1.12367e+07
P33355	P33355		yehS		2.25041e+06	2.24594e+06	1.93621e+06	2.20542e+06	1.92738e+06	2.07386e+06
P33362	P33362		osmF		2.09847e+06	2.22311e+06	2.33858e+06	2.18703e+06	2.09065e+06	2.12973e+06
P33363	P33363		bglX		4.05846e+06	4.03703e+06	3.89094e+06	4.12716e+06	3.84947e+06	3.83342e+06
P33570	P33570		tktB		2.45593e+06	2.50453e+06	2.50166e+06	2.58205e+06	2.43109e+06	2.43632e+06
P33590	P33590		nikA		3.8409e+06	3.90432e+06	3.87252e+06	3.97036e+06	3.83619e+06	3.71234e+06
P33593	P33593		nikD		632982	689929	680499	650159	672797	647902
P33599	P33599		nuoC		1.64744e+07	1.65467e+07	1.62663e+07	1.66048e+07	1.66998e+07	1.64143e+07
P33602	P33602		nuoG		1.57586e+07	1.5848e+07	1.5391e+07	1.56596e+07	1.51608e+07	1.53676e+07
P33643	P33643		rluD		3.94768e+06	3.97188e+06	4.19684e+06	3.84486e+06	4.35327e+06	4.14238e+06
P33644	P33644		yfiH		464043	394403	341687	397524	366436	472842
P33650	P33650		feoB		2.46803e+06	2.48841e+06	2.19627e+06	2.5336e+06	2.29877e+06	2.1227e+06
P33667	P33667		selU		879252	916832	872570	884119	836830	780554
P33898	P33898		gapC		1.97178e+06	1.92545e+06	1.97165e+06	2.02138e+06	1.8753e+06	1.95823e+06
P33913	P33913		yejA		412769	355873	317472	381365	355748	367935
P33916	P33916		yejF		271001	322514	205654	272433	257380	284330
P33920	P33920		yejK		2.43356e+06	2.46534e+06	2.48079e+06	2.35937e+06	2.47587e+06	2.54198e+06
P33937	P33937		napA		4.81055e+06	4.7921e+06	4.91456e+06	4.75914e+06	4.83698e+06	4.77861e+06
P34209	P34209		ydcF		1.16656e+06	1.07143e+06	1.14438e+06	1.10939e+06	1.25172e+06	1.15503e+06
P35340	P35340		ahpF		1.00951e+07	9.96616e+06	1.01976e+07	1.00436e+07	1.01158e+07	9.99914e+06
P36548	P36548		amiA		2.01579e+06	2.1516e+06		1.94393e+06	2.48505e+06	1.89952e+06
P36566	P36566		smtA		507845	517734	554306	523583	477912	638118
P36649	P36649		cueO		2.31335e+06	2.5194e+06	2.37186e+06	2.38159e+06	2.60094e+06	2.35737e+06
P36659	P36659		cbpA		3.59626e+06	3.77952e+06	3.87618e+06	3.58682e+06	3.74701e+06	3.65868e+06
P36672	P36672		treB		1.3513e+06	1.28901e+06	1.4637e+06	1.30283e+06	1.40956e+06	1.38665e+06
P36673	P36673		treR		802216	859027	866224	907496	896989	911139
P36680	P36680		zapD		3.1174e+06	3.27756e+06	3.29271e+06	3.24854e+06	3.16116e+06	3.31836e+06
P36683	P36683		acnB		1.02242e+07	1.04948e+07	1.03041e+07	1.043e+07	1.01135e+07	9.96126e+06
P36767	P36767		rdgC		5.40452e+06	5.31124e+06	5.00262e+06	5.46514e+06	5.08561e+06	5.313e+06
P36771	P36771		lrhA		3.07406e+06	3.09506e+06	2.87946e+06	3.14224e+06	2.75594e+06	2.83613e+06
P36879	P36879		yadG		989117	954388	954132	958124	963749	937050
P36928	P36928		yegD		1.7504e+06	1.83928e+06	1.81111e+06	1.85618e+06	1.83615e+06	1.68139e+06
P36929	P36929		rsmB		3.29339e+06	3.08128e+06	3.37094e+06	3.32432e+06	3.27134e+06	3.37948e+06
P36930	P36930		gatR		946426	942924	905912	967948	926384	888967
P36938	P36938		pgm		7.87102e+06	7.9534e+06	7.73619e+06	7.71137e+06	7.72041e+06	7.67724e+06
P36979	P36979		rlmN		3.68145e+06	3.63728e+06	3.50202e+06	3.69603e+06	3.47954e+06	3.47049e+06
P36999	P36999		rlmA		1.0375e+06	1.10055e+06	1.08714e+06	1.10518e+06	1.02055e+06	1.00824e+06
P37005	P37005		lasT		1.98697e+06	2.01096e+06	1.90612e+06	1.96849e+06	1.98893e+06	1.95648e+06
P37024	P37024		hrpB		553644	521728	446485	529145	444809	496965
P37025	P37025		ligT		323847	336961	299248	331509	331198	
P37028	P37028		btuF		650343	650459	655320	604310	684323	615412
P37051	P37051		purU		6.15875e+06	6.26044e+06	5.99447e+06	5.93987e+06	5.7663e+06	6.0278e+06
P37052	P37052		ychJ		1.38859e+06	1.49188e+06	1.4328e+06	1.09758e+06	1.47273e+06	1.48027e+06
P37095	P37095		pepB		1.4241e+07	1.41227e+07	1.40865e+07	1.40292e+07	1.38666e+07	1.39736e+07
P37128	P37128		nudK		887750	798399	965537	965909	954129	927878
P37177	P37177		ptsP		2.05484e+06	2.0116e+06	2.26134e+06	2.08151e+06	2.1645e+06	2.0943e+06
P37182	P37182		hybD		4.16778e+06	4.06892e+06	3.85641e+06	3.88722e+06	3.92114e+06	3.79357e+06
P37194	P37194		slp		5.15017e+07	5.17619e+07	5.21976e+07	5.03771e+07	5.00561e+07	5.12179e+07
P37329	P37329		modA		4.55194e+06	4.3586e+06	4.22915e+06	4.4047e+06	4.29988e+06	4.01252e+06
P37330	P37330		glcB		1.98377e+06	1.98032e+06	2.06043e+06	1.94603e+06	2.02035e+06	2.06379e+06
P37342	P37342		yjjI		4.03148e+06	4.07317e+06	4.0939e+06	3.92823e+06	4.06492e+06	3.9943e+06
P37349	P37349		dhaM		2.58527e+06	2.62621e+06	2.81922e+06	2.5821e+06	2.77226e+06	2.89415e+06
P37355	P37355		menH		632269	702174	812368	603116	768773	816952
P37440	P37440		ucpA		7.31345e+06	7.12791e+06	6.75113e+06	7.42894e+06	6.75406e+06	6.8914e+06
P37590	P37590		pmrD		2.32623e+06	2.64814e+06	2.48421e+06	2.41325e+06	2.30887e+06	1.44423e+06
P37613	P37613		yhhK		4.6835e+06	4.56887e+06	4.48833e+06	4.7715e+06	4.50812e+06	4.74168e+06
P37617	P37617		zntA		1.78931e+06	1.7892e+06	1.75318e+06	1.78942e+06	1.73093e+06	1.60848e+06
P37626	P37626		yhiI		5.43168e+06	5.17038e+06	5.40978e+06	5.43983e+06	5.65277e+06	5.52604e+06
P37631	P37631		yhiN		1.37391e+06	1.30841e+06	1.33084e+06	1.28495e+06	1.32695e+06	1.30196e+06
P37634	P37634		rlmJ		3.40992e+07	3.23325e+07	3.31149e+07	3.33113e+07	3.33692e+07	3.3775e+07
P37636	P37636		mdtE		4.20507e+06	4.23349e+06	4.42706e+06	4.3195e+06	4.35929e+06	4.30973e+06
P37637	P37637		mdtF		1.547e+06	1.45288e+06	1.61032e+06	1.61576e+06	1.69903e+06	1.4995e+06
P37646	P37646		yhjH		162023	142857	143363	129249		137828
P37647	P37647		kdgK		2.04451e+06	2.04473e+06	2.09887e+06	2.08441e+06	2.0004e+06	2.11234e+06
P37648	P37648		yhjJ		4.28188e+06	4.20556e+06	4.15972e+06	4.04151e+06	4.28498e+06	4.24301e+06
P37650	P37650		bcsC		1.35614e+06	1.34825e+06	1.44793e+06	1.42431e+06	1.39317e+06	1.36972e+06
P37651	P37651		bcsZ		3.31082e+07	3.28153e+07	3.71327e+07	3.45826e+07	3.67192e+07	3.61334e+07
P37652	P37652		bcsB		4.48787e+06	4.48808e+06	4.15793e+06	4.31645e+06	4.25214e+06	4.21718e+06
P37655	P37655		bcsQ		1.39104e+06	1.41231e+06	1.41274e+06	1.41686e+06	1.50351e+06	1.32661e+06
P37657	P37657		bcsE		1.24363e+06	1.25159e+06	1.14211e+06	1.22028e+06	1.18157e+06	1.13833e+06
P37665	P37665		yiaD		6.30421e+06	6.27665e+06	6.5651e+06	6.65957e+06	6.51309e+06	6.7106e+06
P37666	P37666		ghrB		1.09191e+07	1.09639e+07	1.11125e+07	1.04762e+07	1.07004e+07	1.11334e+07
P37671	P37671		yiaJ		225476	152620	235717	201903	189587	156935
P37673	P37673		yiaL			861361				
P37685	P37685		aldB		1.41336e+06	1.31081e+06	1.39391e+06	1.54455e+06	1.3687e+06	1.28291e+06
P37689	P37689		gpmI		2.47168e+07	2.40765e+07	2.45339e+07	2.47811e+07	2.36862e+07	2.37564e+07
P37690	P37690		envC		3.2822e+06	3.41636e+06	3.08477e+06	3.2941e+06	3.086e+06	3.04457e+06
P37692	P37692		rfaF		2.45428e+06	2.45314e+06	2.61427e+06	2.47513e+06	2.52509e+06	2.52403e+06
P37765	P37765		rluB		4.81637e+06	4.77385e+06	4.77888e+06	4.84547e+06	4.97025e+06	4.82434e+06
